Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 29, 3006, No update data, 9g3qx2sqmpk9
Bird, MEX, 74fb3da7-2a60-4dd4-a258-364dc6ec5201, 26, 2505, No update data, 9g3qx2swn4z7
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 64, 8374, No update data, 9g3qx2kw54nx
Bird, MEX, b3dc4e2e-4894-4f5c-9e27-aa9902c9ae73, 71, 9480, No update data, 9g3qx2sznnck
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 100, 14062, No update data, 9g3qx2tnb0te
Bird, MEX, a1ab70bf-909b-4481-aa8d-19d22b8353db, 100, 14062, No update data, 9g3qx2e3ecky
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2szpwuh
Bird, MEX, 939bbb67-69ae-4520-9472-a96d427c12ec, 99, 13904, No update data, 9g3qx2e3ex9t
Bird, MEX, e03d63ba-50fb-4640-a11f-2c5fe9d33c21, 100, 14863, No update data, 9g3qx2e35wcs
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 98, 13746, No update data, 9g3qx2tncpf0
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 100, 14863, No update data, 9g3qx2e36sv1
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 98, 13746, No update data, 9g3qx2e36t05
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx2tnkryk
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 99, 13904, No update data, 9g3qx2tpcmbk
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 82, 11218, No update data, 9g3qx2gduyx8
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 79, 10744, No update data, 9g3qx27hftvh
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 27, 2672, No update data, 9g3qx2jp328r
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 63, 8684, No update data, 9g3qx2mzy6u2
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 83, 11376, No update data, 9g3qx2gh8jjw
Bird, MEX, ed834a34-6369-4119-a64c-ff0b476198f9, 53, 6636, No update data, 9g3qx2y0syrt
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 48, 6179, No update data, 9g3qx3j6t6pf
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 74, 9954, No update data, 9g3qx3j6um20
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35s0jj9
Bird, MEX, a9da0b4e-8bd9-4128-b5e3-8615e77b040c, 51, 6680, No update data, 9g3qx34fjhkt
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 91, 12640, No update data, 9g3qx34fh60p
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 93, 12956, No update data, 9g3qx2fr3ub3
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 60, 7742, No update data, 9g3qx2qyhfzg
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 92, 12798, No update data, 9g3qx2fpxz43
