Bird, MEX, 67c0e372-e02f-485b-a4b2-4d263b5d6677, 100, 14062, No update data, 9g3qx2krcsgw
Bird, MEX, 1579327e-4b2d-4f69-9090-f56ef7a294e3, 96, 14195, No update data, 9g3qx2egz62y
Bird, MEX, e8a8eb30-c1ee-4879-9f17-dcc4e0a3dbbe, 99, 13904, No update data, 9g3qx2krgsrf
Bird, MEX, 69d98a82-b671-4c9c-97b5-e03c53fdd87c, 100, 14062, No update data, 9g3qx2egmtqj
Bird, MEX, 33512538-4616-4788-96cb-5e4d154914a8, 100, 14062, No update data, 9g3qx2egwn3j
Bird, MEX, 636db0aa-cc7f-4b93-9f73-d3dfb92b277f, 99, 13904, No update data, 9g3qx2eun2h3
Bird, MEX, a184ba54-2773-46e3-86da-632bca5e6e98, 94, 13861, No update data, 9g3qx2kr7wxu
Bird, MEX, 6d2e2a7e-b700-454d-aa2b-653f24a5cfed, 100, 14863, No update data, 9g3qx2sdyxxx
Bird, MEX, 8f6192fc-788b-4854-8a30-5caebd713096, 37, 4342, No update data, 9g3qx2sdzqpn
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 100, 14062, No update data, 9g3qx2eu5zuf
Bird, MEX, ea438af6-1fe6-4da6-afda-451f8c5f24f4, 90, 12482, No update data, 9g3qx2sf8v5v
Bird, MEX, 1d535540-0265-4d2c-9e6c-5cf6441813b6, 98, 13746, No update data, 9g3qx2snhq20
Bird, MEX, a0276a82-9eec-4e3d-8762-de0cbe51e17f, 100, 14062, No update data, 9g3qx2snmfk6
Bird, MEX, 943c8b76-48c9-4619-b58a-0176673f750d, 100, 14863, No update data, 9g3qx2sf9u89
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx2snqmh7
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 100, 14062, No update data, 9g3qx2snkk0j
Bird, MEX, 870f54ed-e778-46f6-9735-7ec81c18e74f, 100, 14062, No update data, 9g3qx2sne91s
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 27, 2672, No update data, 9g3qx2kq1zwb
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 27, 2672, No update data, 9g3qx2snvfu2
Bird, MEX, c7cfb9be-2a19-41d5-bea5-59e904fe9300, 100, 14062, No update data, 9g3qx2sndz53
Bird, MEX, a75b5218-a500-4ea5-be40-1ad4a24e5359, 100, 14062, No update data, 9g3qx2snukyq
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 84, 11534, No update data, 9g3qx2kw1kh6
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 63, 8216, No update data, 9g3qx2km7j07
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 98, 13746, No update data, 9g3qx2etxydr
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx2ey0qgu
Bird, MEX, 74fb3da7-2a60-4dd4-a258-364dc6ec5201, 25, 2338, No update data, 9g3qx2eedw8p
Bird, MEX, 2f693e5e-f55f-4737-a0cc-21473e9600fc, 99, 13904, No update data, 9g3qx2sz7j07
Bird, MEX, b3dc4e2e-4894-4f5c-9e27-aa9902c9ae73, 70, 9322, No update data, 9g3qx2szk474
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 100, 14062, No update data, 9g3qx2szk624
Bird, MEX, fc8ab31f-3af9-42b8-85b1-8007e820588a, 99, 14696, No update data, 9g3qx2szqwdt
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 100, 14062, No update data, 9g3qx2szy2k3
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 96, 13430, No update data, 9g3qx2ubjjuw
