Bird, MEX, 74fb3da7-2a60-4dd4-a258-364dc6ec5201, 24, 2171, No update data, 9g3qx2s5jzs2
Bird, MEX, 69d98a82-b671-4c9c-97b5-e03c53fdd87c, 99, 13904, No update data, 9g3qx2s4dcg2
Bird, MEX, a184ba54-2773-46e3-86da-632bca5e6e98, 92, 13527, No update data, 9g3qx2s28syg
Bird, MEX, 636db0aa-cc7f-4b93-9f73-d3dfb92b277f, 98, 13746, No update data, 9g3qx2s5c72k
Bird, MEX, 943c8b76-48c9-4619-b58a-0176673f750d, 98, 14529, No update data, 9g3qx2sdew9x
Bird, MEX, 1579327e-4b2d-4f69-9090-f56ef7a294e3, 94, 13861, No update data, 9g3qx2egz8uj
Bird, MEX, 6d2e2a7e-b700-454d-aa2b-653f24a5cfed, 99, 14696, No update data, 9g3qx2sdu6y2
Bird, MEX, 33512538-4616-4788-96cb-5e4d154914a8, 99, 13904, No update data, 9g3qx2egzm8f
Bird, MEX, 8f6192fc-788b-4854-8a30-5caebd713096, 35, 4008, No update data, 9g3qx2sdmqxv
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 83, 11376, No update data, 9g3qx2kr4xt0
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 99, 13904, No update data, 9g3qx2euwjpm
Bird, MEX, ea438af6-1fe6-4da6-afda-451f8c5f24f4, 90, 12482, No update data, 9g3qx2sepkxn
Bird, MEX, e8a8eb30-c1ee-4879-9f17-dcc4e0a3dbbe, 98, 13746, No update data, 9g3qx2krh2q7
Bird, MEX, 6b578da1-bcaf-45f7-ab5f-d88d6ac40a89, 100, 14863, No update data, 9g3qx2sn5yuu
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx2evw1rq
Bird, MEX, 1d535540-0265-4d2c-9e6c-5cf6441813b6, 97, 13588, No update data, 9g3qx2sq968q
Bird, MEX, d5db08bb-7177-4685-afad-0bdd65d03af8, 100, 14863, No update data, 9g3qx2sn7402
Bird, MEX, a0276a82-9eec-4e3d-8762-de0cbe51e17f, 100, 14062, No update data, 9g3qx2sq9km2
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 98, 13746, No update data, 9g3qx2eud73f
Bird, MEX, 870f54ed-e778-46f6-9735-7ec81c18e74f, 100, 14062, No update data, 9g3qx2sn6eb5
Bird, MEX, c7cfb9be-2a19-41d5-bea5-59e904fe9300, 100, 14062, No update data, 9g3qx2sq8z5c
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 26, 2505, No update data, 9g3qx2sn32b2
Bird, MEX, 65832b8a-d336-4275-9019-d03ea93caf35, 100, 14863, No update data, 9g3qx2sn3sg9
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 63, 8216, No update data, 9g3qx2knnp1n
Bird, MEX, 67c0e372-e02f-485b-a4b2-4d263b5d6677, 99, 13904, No update data, 9g3qx2kqnp90
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 27, 2672, No update data, 9g3qx2kmcpdp
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx2ev8n8x
Bird, MEX, a75b5218-a500-4ea5-be40-1ad4a24e5359, 100, 14062, No update data, 9g3qx2sx84tw
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 100, 14062, No update data, 9g3qx2u804t9
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 97, 14362, No update data, 9g3qx2e3szxt
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 99, 13904, No update data, 9g3qx2szkvpe
Bird, MEX, a1ab70bf-909b-4481-aa8d-19d22b8353db, 98, 13746, No update data, 9g3qx2e3461z
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 80, 10902, No update data, 9g3qx2gcs15h
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 100, 14062, No update data, 9g3qx2tjys6d
Bird, MEX, e03d63ba-50fb-4640-a11f-2c5fe9d33c21, 96, 14195, No update data, 9g3qx2e1z2zj
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 94, 13114, No update data, 9g3qx2e1rwsj
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 96, 13430, No update data, 9g3qx2tq4jgy
Bird, MEX, 9eb9abf5-622f-4288-bd07-6a0d0452248c, 97, 14362, No update data, 9g3qx27m79rg
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 66, 8690, No update data, 9g3qx2t7w5cq
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 81, 11690, No update data, 9g3qx2tkjghm
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 96, 13430, No update data, 9g3qx2t7qefe
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 99, 13904, No update data, 9g3qx2tmsgzw
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 99, 14696, No update data, 9g3qx27ku0gh
Bird, MEX, 2f693e5e-f55f-4737-a0cc-21473e9600fc, 98, 13746, No update data, 9g3qx2tqg1ye
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 99, 13904, No update data, 9g3qx2tqk6ym
