Bird, MEX, 636db0aa-cc7f-4b93-9f73-d3dfb92b277f, 96, 13430, No update data, 9g3qx2s59kt6
Bird, MEX, 33512538-4616-4788-96cb-5e4d154914a8, 98, 13746, No update data, 9g3qx2s5c383
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 21, 1670, No update data, 9g3qx2sh7xzu
Bird, MEX, e8a8eb30-c1ee-4879-9f17-dcc4e0a3dbbe, 96, 13430, No update data, 9g3qx2kryn1n
Bird, MEX, a184ba54-2773-46e3-86da-632bca5e6e98, 90, 13193, No update data, 9g3qx2kr9j4j
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 82, 11218, No update data, 9g3qx2kreezy
Bird, MEX, 67c0e372-e02f-485b-a4b2-4d263b5d6677, 98, 13746, No update data, 9g3qx2krkryk
Bird, MEX, ea438af6-1fe6-4da6-afda-451f8c5f24f4, 88, 12166, No update data, 9g3qx2senxpw
Bird, MEX, 943c8b76-48c9-4619-b58a-0176673f750d, 96, 14195, No update data, 9g3qx2sdr6cj
Bird, MEX, 8f6192fc-788b-4854-8a30-5caebd713096, 30, 3173, No update data, 9g3qx2sf8w8z
Bird, MEX, c7cfb9be-2a19-41d5-bea5-59e904fe9300, 99, 13904, No update data, 9g3qx2smz7xn
Bird, MEX, 3bf88c7b-5a1d-4364-80cb-f1ce21c49d68, 96, 14195, No update data, 9g3qx2sfbszn
Bird, MEX, 6b578da1-bcaf-45f7-ab5f-d88d6ac40a89, 100, 14863, No update data, 9g3qx2sq1yyu
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 98, 13746, No update data, 9g3qx2snqd48
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 97, 13588, No update data, 9g3qx2sjb35z
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qx2evzrrn
Bird, MEX, 65832b8a-d336-4275-9019-d03ea93caf35, 98, 14529, No update data, 9g3qx2sqc9ge
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 24, 2171, No update data, 9g3qx2sneukb
Bird, MEX, a75b5218-a500-4ea5-be40-1ad4a24e5359, 98, 13746, No update data, 9g3qx2snswkm
Bird, MEX, 870f54ed-e778-46f6-9735-7ec81c18e74f, 98, 13746, No update data, 9g3qx2snfg7k
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 98, 13746, No update data, 9g3qx2ev6pgs
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx2snc6b2
Bird, MEX, a0276a82-9eec-4e3d-8762-de0cbe51e17f, 99, 13904, No update data, 9g3qx2spr21h
Bird, MEX, d5db08bb-7177-4685-afad-0bdd65d03af8, 99, 14696, No update data, 9g3qx2sp0t8u
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 93, 12956, No update data, 9g3qx2e99m0m
Bird, MEX, d049f895-0d84-4774-a5e0-76a1647851c7, 94, 13861, No update data, 9g3qx2e8cm86
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 61, 7900, No update data, 9g3qx2kkm24u
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 26, 2505, No update data, 9g3qx2kkhmq6
Bird, MEX, d2fef0b8-aa6e-4a9f-bef1-fd5fa9e2b65d, 100, 14062, No update data, 9g3qx2szs4en
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 100, 14863, No update data, 9g3qx2ubk450
Bird, MEX, 2f693e5e-f55f-4737-a0cc-21473e9600fc, 94, 13114, No update data, 9g3qx2ubkdkd
Bird, MEX, 4393bfb1-3460-492b-ba5f-ab3d5e317045, 100, 14863, No update data, 9g3qx2tp8pj9
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 93, 12956, No update data, 9g3qx2szzrrn
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 98, 13746, No update data, 9g3qx2ubqtrt
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 100, 14062, No update data, 9g3qx2tpdp5c
Bird, MEX, ac1ee0f4-816d-44fa-9b99-fe5bfe58bf3d, 97, 13588, No update data, 9g3qx2ubrbf2
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 94, 13114, No update data, 9g3qx2tpfbgm
Bird, MEX, 7f0de6d1-2382-488a-ac86-70340e5c0ea8, 97, 13588, No update data, 9g3qx2v08nje
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 98, 13746, No update data, 9g3qx2v0f31z
Bird, MEX, d0639104-ca83-4c41-a068-1d36fb5a1c88, 65, 8532, No update data, 9g3qx2t7vcs3
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 79, 11356, No update data, 9g3qx2tkn0cr
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 79, 10744, No update data, 9g3qx2gfdst4
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 93, 12956, No update data, 9g3qx2t7qsz9
Bird, MEX, 815c628d-b423-4476-af8a-3726877fc465, 94, 13861, No update data, 9g3qx27m1u2s
Bird, MEX, 949aa72f-d3ee-4a57-ab0c-2c86be93c3a2, 100, 14062, No update data, 9g3qx2v1dd8n
Bird, MEX, 9055f54e-a46a-4c28-b31b-1255979d5c27, 97, 14362, No update data, 9g3qx27k5vkf
Bird, MEX, 1500ca1e-de78-4a4b-a7ee-6f6c7a0a8106, 98, 13746, No update data, 9g3qx2v1sn7j
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 57, 7268, No update data, 9g3qx2tsfsm4
Bird, MEX, 7b8e74ac-74f6-4e34-a049-34ba30abb3d3, 96, 14195, No update data, 9g3qx2tt589t
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 85, 12358, No update data, 9g3qx2ttswer
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 90, 12482, No update data, 9g3qx2ttj2pc
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 76, 10270, No update data, 9g3qx2uje2g7
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 63, 8216, No update data, 9g3qx2g1s32n
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 69, 9164, No update data, 9g3qx26fej2r
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 76, 10855, No update data, 9g3qx25vkm04
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 80, 10902, No update data, 9g3qx2ghgsxu
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 91, 12640, No update data, 9g3qx26g0nm8
Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 75, 10112, No update data, 9g3qx26fbtbe
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 91, 13360, No update data, 9g3qx26f91f0
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dqc3jr
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 94, 13861, No update data, 9g3qx2wr89ph
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 94, 13114, No update data, 9g3qx2dr02et
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26k3qvq
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26k3r86
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 31, 3340, No update data, 9g3qx26k1tes
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 91, 13360, No update data, 9g3qx26k82gd
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qx26hxbf6
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 94, 13861, No update data, 9g3qx2wrgxry
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hz28g
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 100, 14863, No update data, 9g3qx26hrxuh
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 55, 7348, No update data, 9g3qx2y2hde3
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 82, 11857, No update data, 9g3qx2wrw3hk
