Bird, MEX, 07781693-7250-4330-b238-42905dca196f, 75, 10112, No update data, 9g3qx2kputk2
Bird, MEX, ff3bcdc9-eb28-4100-8795-64016563fd0f, 31, 3340, No update data, 9g3qx2sms8ud
Bird, MEX, ca47276c-8149-4833-ba6f-405b4b5e3b2f, 29, 3006, No update data, 9g3qx2smrz63
Bird, MEX, ef8f54c2-d154-4cc4-aec1-9b7666bb9faa, 58, 7426, No update data, 9g3qx2krr39j
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 33, 3674, No update data, 9g3qx2ecdq9z
Bird, MEX, 9f1c17a4-4a40-4b91-b7e1-4bec7a33e505, 85, 11692, No update data, 9g3qx2snwks6
Bird, MEX, 1b394f0e-eb98-44c0-93e5-f32dcf58f28c, 83, 11376, No update data, 9g3qx27yu72h
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 84, 11534, No update data, 9g3qx2t4b98c
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 88, 12859, No update data, 9g3qx2k7bsqf
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 55, 6952, No update data, 9g3qx2k79rm7
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 66, 9185, No update data, 9g3qx2t6g5ww
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 72, 9638, No update data, 9g3qx2gcuxkq
Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 82, 11218, No update data, 9g3qx277wgmc
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 67, 8848, No update data, 9g3qx2uje1y8
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 62, 8517, No update data, 9g3qx2g1dbg6
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 45, 5372, No update data, 9g3qx275c544
Bird, MEX, 5360103f-4a82-43e5-8e93-404f012c7661, 63, 8216, No update data, 9g3qx2g45t19
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 57, 7268, No update data, 9g3qx2g1fm9f
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 78, 10586, No update data, 9g3qx2hw655x
Bird, MEX, bbacda4c-b831-4127-b3b6-efa96ac68a6e, 56, 7515, No update data, 9g3qx2v9pekp
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 38, 4509, No update data, 9g3qx26g5wrb
Bird, MEX, d480de46-a760-4ad4-8fc1-7f1ed6330c5f, 60, 7742, No update data, 9g3qx26cys48
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 89, 12324, No update data, 9g3qx2hkcvbe
Bird, MEX, f7403d14-8778-423a-9519-6ae56622eb18, 33, 3674, No update data, 9g3qx26f9se9
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 62, 8517, No update data, 9g3qx2gh9egw
