Bird, MEX, cbb17fd9-99b1-49b1-8d9f-9d49119b9604, 75, 10112, No update data, 9g3qrkm8k873
Bird, MEX, d773b291-304c-40eb-8741-10c951a86a55, 51, 6320, No update data, 9g3qrkv8928q
Bird, MEX, adc6ae4f-52d7-42a6-9fef-bbe285c4ae20, 75, 10112, No update data, 9g3qrkv1uxh8
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 44, 5214, No update data, 9g3qr7usfr9g
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 44, 5214, No update data, 9g3qrs3qnxru
Bird, MEX, 8971dda7-0053-447d-98ed-28e335e65b24, 66, 9185, No update data, 9g3qr7ggpnsp
Bird, MEX, 88d3975c-91af-4afb-a117-d48ac7438e86, 82, 11218, No update data, 9g3qr7u13byt
Bird, MEX, cd6d60f8-065d-4d45-85d8-b6938fd23b24, 82, 11218, No update data, 9g3qr7u11yne
Bird, MEX, 3d01e71f-63fe-4283-bf7d-5faf2e56bfaf, 64, 8374, No update data, 9g3qrkeptbkh
Bird, MEX, b7a43ee9-0fc1-4dc8-a1de-667803f71173, 51, 6320, No update data, 9g3qrt0kygmc
Bird, MEX, 688c77c5-f61b-4407-ae98-f508bde8af9a, 66, 8690, No update data, 9g3qrk6wcegs
Bird, MEX, 21498960-6c2d-49e6-8acf-de435e204c2b, 67, 8848, No update data, 9g3qrk66qe4e
Bird, MEX, 139661d5-2ea0-494d-9ade-8a14995faf37, 79, 11356, No update data, 9g3qrmhjrq1p
Bird, MEX, bb688337-d493-4fb0-83ff-c7a8c12aa7a9, 78, 10586, No update data, 9g3qrm5sr3x4
Bird, MEX, 6cd1f77f-9e85-4d93-b66d-4c0c709f8051, 42, 4898, No update data, 9g3qrmhn9rm2
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 48, 5846, No update data, 9g3qrk44x6x1
Bird, MEX, f1dfd639-e3c1-4f45-9cc1-6958513abbfb, 62, 8058, No update data, 9g3qrkfssfck
Bird, MEX, 1f9e2f30-e336-4d3d-ac28-b23f50927005, 85, 11692, No update data, 9g3qrkf0memv
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 65, 9018, No update data, 9g3qrmk71r2m
Bird, MEX, fdb6742c-1e1d-44e5-b2f1-fef8bf1eebcf, 62, 8058, No update data, 9g3qr7f4ku12
Bird, MEX, 34167d83-910b-4f8b-a30c-bbd05cdbb9e6, 48, 5846, No update data, 9g3qr7f4h2y4
Bird, MEX, d120ebb2-5a80-49f8-a30d-7c276b94cd57, 72, 9638, No update data, 9g3qrmkw1z8x
Bird, MEX, 33bb3e40-73b0-45ca-96f7-1c9cf7cfe9a3, 89, 12324, No update data, 9g3qrkc6kjzv
Bird, MEX, fa564e5b-bd6b-4413-b8f5-4a52f0fdb436, 73, 9796, No update data, 9g3qrkc6s4rb
Bird, MEX, 2be76e51-8f2d-4f79-90df-c7ad61867216, 96, 13430, No update data, 9g3qrkc6e8xy
Bird, MEX, 1b8e53fa-edd8-488c-8c72-f0782412b568, 89, 12324, No update data, 9g3qrkc66vgj
Bird, MEX, 05e2b5de-af4f-4d6e-98f5-95873c6743d2, 60, 7742, No update data, 9g3qr73gb9wv
Bird, MEX, 97d20174-f916-4216-ab4d-e56e7105c49e, 66, 9185, No update data, 9g3qrst5ru6e
Bird, MEX, 0275247e-d8a4-4354-9ea2-73d1af9a675c, 46, 5530, No update data, 9g3qrhqb8pv6
Bird, MEX, 7ca2c1f0-861d-40e2-941d-3145426d2166, 62, 8058, No update data, 9g3qrhn5hn4u
Bird, MEX, ed4892a2-4288-4567-b0af-77a9acb33680, 27, 2528, No update data, 9g3qr5qw5e39
Bird, MEX, 94a34ee2-e516-407e-8f1b-98eb84c9e7e1, 83, 11376, No update data, 9g3qrhkx0gsu
Bird, MEX, 84261030-0cf3-4764-a8bb-897d59a84907, 56, 7110, No update data, 9g3qrj93h7ty
Bird, MEX, 6ccde440-606d-4c2a-b861-e494878c4a7a, 54, 6794, No update data, 9g3qr58m3k00
Bird, MEX, faf80a3e-ddab-4793-82d9-597d9920f9be, 52, 6478, No update data, 9g3qrj36nztr
Bird, MEX, 90f9e687-cd7b-4f5a-acf5-3ff76b574f3c, 60, 7742, No update data, 9g3qrj3xwmmk
Bird, PBC, c7972ae7-bf69-4a82-b610-fbd7e9313832, 96, 14195, No update data, 9g6h7n4gpu4m
Bird, PBC, 52ee4d7f-248a-45ee-970e-68806bf144fb, 85, 12358, No update data, 9g6h7n4gp695
Bird, PBC, 24f388cd-9f9a-412b-8397-c35ed59db9a1, 99, 14696, No update data, 9g6h7n4gpduj
Bird, PBC, 6e54d93d-8197-4d8f-9347-6d1342c419ef, 99, 14696, No update data, 9g6h7n4gp3p4
Bird, PBC, fbc1c646-9d26-43cc-8e8f-b0db6f3fd3e1, 76, 10855, No update data, 9g6h7n4gp2z0
Bird, PBC, de2993fb-c1da-4cf6-b471-6f6a3e6d093b, 100, 14863, No update data, 9g6h7jf2hupt
