Bird, MEX, ca47276c-8149-4833-ba6f-405b4b5e3b2f, 28, 2839, No update data, 9g3qx2skycvg
Bird, MEX, ff3bcdc9-eb28-4100-8795-64016563fd0f, 30, 3173, No update data, 9g3qx2skyqs2
Bird, MEX, c6695cbe-498f-4f8a-bfa3-0024a49af7cd, 55, 6952, No update data, 9g3qx2krkccr
Bird, MEX, ef8f54c2-d154-4cc4-aec1-9b7666bb9faa, 57, 7268, No update data, 9g3qx2s8msnj
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 30, 3173, No update data, 9g3qx2ec6smp
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 100, 14062, No update data, 9g3qx2sg338q
Bird, MEX, 7c906dcf-51d2-45d5-91fd-c0c9ccda7a7b, 100, 14062, No update data, 9g3qx2sg6m9z
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 100, 14062, No update data, 9g3qx2su1mm6
Bird, MEX, b0f3d837-d2e5-4137-adad-b94cf16625e4, 100, 14863, No update data, 9g3qx2sg68mn
Bird, MEX, 07781693-7250-4330-b238-42905dca196f, 74, 9954, No update data, 9g3qx2knbt2b
Bird, MEX, 1b394f0e-eb98-44c0-93e5-f32dcf58f28c, 82, 11218, No update data, 9g3qx2eb3gbe
Bird, MEX, 82969b39-d6b9-4827-a0a8-107673dd7014, 100, 14062, No update data, 9g3qx2sge8py
Bird, MEX, 71af20d4-ae11-43ed-9b22-297347f35569, 100, 14062, No update data, 9g3qx2sge9zb
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 99, 14696, No update data, 9g3qx2sgs7bn
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 87, 12692, No update data, 9g3qx2kjw1pk
Bird, MEX, 9f1c17a4-4a40-4b91-b7e1-4bec7a33e505, 84, 11534, No update data, 9g3qx2spz231
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 83, 11376, No update data, 9g3qx2t56t2j
Bird, MEX, 35abfa33-04d2-49b9-9d7c-bf837caa1f01, 100, 14062, No update data, 9g3qx27x14d1
Bird, MEX, dd5d01a4-617b-4c5c-9dcc-719955edd02d, 100, 14062, No update data, 9g3qx2e36x20
Bird, MEX, fc97cd00-b130-485c-9f04-32a39b424f3e, 99, 14696, No update data, 9g3qx2e34dv5
Bird, MEX, b9711556-35e2-4688-9fd4-138d8621c479, 100, 14062, No update data, 9g3qx2e34mcy
Bird, MEX, 103d35a3-c843-4e07-8711-d00965ff9f15, 99, 13904, No update data, 9g3qx2e3605s
Bird, MEX, 05830fa6-52a4-493a-9fa8-7f28c90e403c, 99, 13904, No update data, 9g3qx2e2cuqd
Bird, MEX, 0b614b84-c92a-442b-93ab-89c83b29851d, 100, 14863, No update data, 9g3qx27mv9w0
Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 81, 11060, No update data, 9g3qx27kwujz
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 99, 14696, No update data, 9g3qx27mftm0
