Bird, MEX, 15d3af48-27d8-4efb-8611-c0793111630e, 99, 13904, No update data, 9g3qx2sjrk3p
Bird, MEX, f31d0470-fe1f-45b3-89ab-eaa480b9ab78, 88, 12859, No update data, 9g3qx2sjrqcp
Bird, MEX, 625fefe3-c71b-4879-9717-67ac624441b5, 88, 12166, No update data, 9g3qx2s9tkdc
Bird, MEX, 041d2468-a93e-4420-8a8a-5c48e79eeea9, 67, 8848, No update data, 9g3qx2sdq0z2
Bird, MEX, 25b00446-0e17-4016-87d8-2c94879282bf, 98, 13746, No update data, 9g3qx2kr3tex
Bird, MEX, 62c6f9bd-26d4-4e85-8444-f527c77feee6, 65, 8532, No update data, 9g3qx2ssdzem
Bird, MEX, ef8f54c2-d154-4cc4-aec1-9b7666bb9faa, 54, 6794, No update data, 9g3qx2sdy8r9
Bird, MEX, e584cc88-0adb-49dd-8a12-2071b4e711d3, 76, 10270, No update data, 9g3qx2sm8ptt
Bird, MEX, f074dee5-8696-4b71-b1cf-7f358aa7648f, 15, 632, No update data, 9g3qx2smb1ve
Bird, MEX, a8eaea0c-81ec-429f-9fdd-cdb093931817, 93, 13694, No update data, 9g3qx2kr4x0n
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 99, 14696, No update data, 9g3qx2eukj55
Bird, MEX, 0a936727-8489-40b0-b796-d6409e6396ef, 30, 3173, No update data, 9g3qx2snpzd2
Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 100, 14062, No update data, 9g3qx2evm7fg
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 99, 14696, No update data, 9g3qx2eug5ww
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 83, 12024, No update data, 9g3qx2knw2u6
Bird, MEX, 1a0bda6c-b93d-4750-9416-adc25e7ed19b, 88, 12166, No update data, 9g3qx2sg9vyc
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qx2evv8q1
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qx2eufmcu
Bird, MEX, cc7b59e8-11b8-4f74-a225-7b9a5b98d978, 100, 14062, No update data, 9g3qx2ev7423
Bird, MEX, 08283b09-81c5-460f-b8c4-74e02e86c212, 52, 6847, No update data, 9g3qx2kwefsy
Bird, MEX, 4521d046-9833-459e-8b52-5f7c13afcc7d, 100, 14062, No update data, 9g3qx2eyh0ej
Bird, MEX, aab2556f-5bf1-4b2e-b174-99a25a5b3a24, 100, 14062, No update data, 9g3qx2eywch3
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 100, 14863, No update data, 9g3qx2eszesn
Bird, MEX, 99b16a6d-3522-4475-8782-73472b4771d6, 100, 14863, No update data, 9g3qx2ev8xqg
Bird, MEX, 383dc2d9-80e3-4d99-9b8f-749557ff26a1, 43, 5344, No update data, 9g3qx2etnmk6
Bird, MEX, 1ca4d55b-7216-4b45-ab1c-1492a0701a2e, 100, 14863, No update data, 9g3qx2esubcm
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 80, 10902, No update data, 9g3qx2t4bjtd
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 100, 14062, No update data, 9g3qx2ey81v8
Bird, MEX, 50ad6d5b-e418-49e1-bda1-5c26e567985c, 99, 13904, No update data, 9g3qx2sz3v0e
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 90, 12482, No update data, 9g3qx2syrdk4
Bird, MEX, c8343d87-172d-4ed3-9cde-9e8ef5c418be, 34, 3841, No update data, 9g3qx2thghqd
Bird, MEX, ba82350f-d9c4-497c-bd44-24f51b0928ce, 55, 6952, No update data, 9g3qx2thgghf
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 99, 13904, No update data, 9g3qx2syxwkj
Bird, MEX, 0f9be40f-5110-4c2b-bc61-cf3d7ff56f45, 85, 11692, No update data, 9g3qx2e2jgu1
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 88, 12166, No update data, 9g3qx2tncp6n
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 98, 13746, No update data, 9g3qx2ub781s
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx2e33gnx
Bird, MEX, 8260420b-6323-4d6a-9b78-4ac0b58a5e85, 100, 14863, No update data, 9g3qx2e31203
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 71, 9480, No update data, 9g3qx27quk24
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 84, 11534, No update data, 9g3qx27qs3b0
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 98, 13746, No update data, 9g3qx27r445x
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 98, 13746, No update data, 9g3qx27r39et
Bird, MEX, 2b677e56-493a-4567-bc7f-1b1428deeb5e, 100, 14062, No update data, 9g3qx2e0z72u
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 69, 9164, No update data, 9g3qx2g9mdq4
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 96, 13430, No update data, 9g3qx2tk7s3x
Bird, MEX, e70b8342-c721-49b4-8fc4-d3f12f55afcc, 100, 14062, No update data, 9g3qx2e0q9fx
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 47, 6012, No update data, 9g3qx2t90x8b
Bird, MEX, dde59b6d-fc71-4638-817a-3565f11e95f1, 100, 14062, No update data, 9g3qx27p7hy3
Bird, MEX, eea7f1af-6508-49e0-a355-2c02fbd3397c, 80, 10902, No update data, 9g3qx27jntzw
Bird, MEX, ed62c122-709b-44b9-a89d-9bc4d1b4a968, 98, 13746, No update data, 9g3qx27js325
Bird, MEX, 6a34c69c-838f-4822-9415-33c89c733302, 74, 10521, No update data, 9g3qx27jkmqm
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 49, 6004, No update data, 9g3qx2gssvzd
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 93, 13694, No update data, 9g3qx2ttxcpk
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 94, 13861, No update data, 9g3qx2twqxxe
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 94, 13861, No update data, 9g3qx2twrvp7
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 83, 12024, No update data, 9g3qx2ty0meu
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 64, 8374, No update data, 9g3qx2gvghws
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 55, 7348, No update data, 9g3qx2fcmkrz
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 98, 13746, No update data, 9g3qx2ty7xcu
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 96, 14195, No update data, 9g3qx2tyk2qq
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 92, 13527, No update data, 9g3qx2tzdwj5
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 74, 9954, No update data, 9g3qx2hmqpzk
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 93, 13694, No update data, 9g3qx2tyqbju
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 54, 7181, No update data, 9g3qx2ghuu36
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 31, 3340, No update data, 9g3qx26f5gub
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 55, 6952, No update data, 9g3qx2jnmpus
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2gh200s
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26f639v
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 67, 9352, No update data, 9g3qx25uy9d8
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 93, 13694, No update data, 9g3qx2h5g35q
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 96, 14195, No update data, 9g3qx2h51yys
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx25gn2k7
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 74, 10521, No update data, 9g3qx25jdfgr
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 93, 13694, No update data, 9g3qx25fyfvb
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 67, 8848, No update data, 9g3qx2y208p4
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 91, 13360, No update data, 9g3qx25fwmu3
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 97, 13588, No update data, 9g3qx2y1yhrd
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 17, 1002, No update data, 9g3qx2y2c3t3
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 35, 4008, No update data, 9g3qx2j7fdb0
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 87, 12008, No update data, 9g3qx266ddtn
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 83, 11376, No update data, 9g3qx2665d1x
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 91, 13360, No update data, 9g3qx25f48bp
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx266cb23
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx26hurqj
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 94, 13861, No update data, 9g3qx2wryyjy
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 91, 13360, No update data, 9g3qx26hhurs
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qx26hgjw6
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx26hejy3
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26h7w3d
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26he585
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26h7jn7
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 100, 14062, No update data, 9g3qx26j0tbw
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx26h90f4
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 89, 12324, No update data, 9g3qx2f40z5y
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 94, 13114, No update data, 9g3qx34c914j
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 93, 12956, No update data, 9g3qx34c9hd4
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 94, 13114, No update data, 9g3qx34c8z7g
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 94, 13114, No update data, 9g3qx34f0xny
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 100, 14863, No update data, 9g3qx2fr6w8j
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3fws
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2frdem4
Bird, MEX, 9bc3f15a-402d-4f1d-ae34-25fc8750ae08, 75, 10688, No update data, 9g3qx2yekhg1
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fr3qbr
Bird, MEX, 5d76e6e5-dc02-419b-9e48-06a9964b8d69, 84, 11534, No update data, 9g3qx23fgnb1
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 100, 14062, No update data, 9g3qx3424rcf
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 31, 3340, No update data, 9g3qx2ycfheu
