Bird, MEX, 8a1405a7-96e7-4a71-a00e-f0dbea6efc5b, 52, 6478, No update data, 9g3qx2s7rzr3
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 99, 14696, No update data, 9g3qx2s5ff7q
Bird, MEX, 4a97e828-c79c-4e30-888d-95cf34352c27, 26, 2505, No update data, 9g3qx2s5gnb6
Bird, MEX, 1ca4d55b-7216-4b45-ab1c-1492a0701a2e, 100, 14863, No update data, 9g3qx2s5fj78
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 99, 14696, No update data, 9g3qx2sht1hs
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 99, 14696, No update data, 9g3qx2sh1203
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 66, 9185, No update data, 9g3qx2sh1t7d
Bird, MEX, 6b64e429-32ca-4637-9fea-052043bccd92, 40, 4582, No update data, 9g3qx2sdhekx
Bird, MEX, 041d2468-a93e-4420-8a8a-5c48e79eeea9, 67, 8848, No update data, 9g3qx2sej2rg
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 76, 10270, No update data, 9g3qx2sjx21n
Bird, MEX, d98251e1-1eaf-4833-9190-ea87ec3c1ae7, 88, 12859, No update data, 9g3qx2ssdr9v
Bird, MEX, 62c6f9bd-26d4-4e85-8444-f527c77feee6, 65, 8532, No update data, 9g3qx2sm9tg9
Bird, MEX, 32f85680-c144-44a9-88f5-9eef25c7af20, 74, 9954, No update data, 9g3qx2sjy11p
Bird, MEX, e584cc88-0adb-49dd-8a12-2071b4e711d3, 76, 10270, No update data, 9g3qx2smcq0q
Bird, MEX, f31d0470-fe1f-45b3-89ab-eaa480b9ab78, 87, 12692, No update data, 9g3qx2smbjbs
Bird, MEX, 625fefe3-c71b-4879-9717-67ac624441b5, 88, 12166, No update data, 9g3qx2sdxzr7
Bird, MEX, 15d3af48-27d8-4efb-8611-c0793111630e, 98, 13746, No update data, 9g3qx2sq1859
Bird, MEX, 0a936727-8489-40b0-b796-d6409e6396ef, 29, 3006, No update data, 9g3qx2sq10fp
Bird, MEX, 0289c3ad-00fc-485a-a3aa-7b763ae3f078, 22, 1837, No update data, 9g3qx2sthg3r
Bird, MEX, cc7b59e8-11b8-4f74-a225-7b9a5b98d978, 100, 14062, No update data, 9g3qx2evgysb
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 100, 14062, No update data, 9g3qx2eyqh3p
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qx2evgwzf
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 83, 12024, No update data, 9g3qx2kjwutc
Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 100, 14062, No update data, 9g3qx2ey1de9
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qx2ey36vm
Bird, MEX, 4521d046-9833-459e-8b52-5f7c13afcc7d, 100, 14062, No update data, 9g3qx2ewmxyh
Bird, MEX, ba82350f-d9c4-497c-bd44-24f51b0928ce, 57, 7268, No update data, 9g3qx2th6v57
Bird, MEX, 7e0e4ebd-6cbb-4d5a-a88d-84177c830967, 96, 13430, No update data, 9g3qx2syr8kn
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 92, 12798, No update data, 9g3qx2syy2um
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 89, 12324, No update data, 9g3qx2thg2gt
Bird, MEX, 2b677e56-493a-4567-bc7f-1b1428deeb5e, 100, 14062, No update data, 9g3qx2e3jey1
Bird, MEX, 8260420b-6323-4d6a-9b78-4ac0b58a5e85, 100, 14863, No update data, 9g3qx2e3kqq7
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 88, 12166, No update data, 9g3qx2thtcu2
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 84, 11534, No update data, 9g3qx2e2jjh8
Bird, MEX, e70b8342-c721-49b4-8fc4-d3f12f55afcc, 100, 14062, No update data, 9g3qx2e3e406
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx2e3due3
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 71, 9480, No update data, 9g3qx27rh075
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 69, 9164, No update data, 9g3qx2gcdx25
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 99, 13904, No update data, 9g3qx2uc7n27
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 98, 13746, No update data, 9g3qx27px5un
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 93, 13694, No update data, 9g3qx2t7vww0
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 98, 13746, No update data, 9g3qx2ucwsdd
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 94, 13114, No update data, 9g3qx2t7nerx
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 80, 10902, No update data, 9g3qx27kt6xy
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 93, 13694, No update data, 9g3qx2t7wgtu
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 81, 11690, No update data, 9g3qx2t7r1sn
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 31, 3340, No update data, 9g3qx27mbmgu
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx277vgsn
Bird, MEX, 08283b09-81c5-460f-b8c4-74e02e86c212, 52, 6847, No update data, 9g3qx277tykj
