Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 98, 14529, No update data, 9g3qx2s5ekg7
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 99, 14696, No update data, 9g3qx2s5gj86
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 99, 14696, No update data, 9g3qx2s5fwb4
Bird, MEX, 4a97e828-c79c-4e30-888d-95cf34352c27, 26, 2505, No update data, 9g3qx2sh1gy9
Bird, MEX, 1ca4d55b-7216-4b45-ab1c-1492a0701a2e, 100, 14863, No update data, 9g3qx2sh692h
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 66, 9185, No update data, 9g3qx2shfemh
Bird, MEX, 62c6f9bd-26d4-4e85-8444-f527c77feee6, 65, 8532, No update data, 9g3qx2sm6r3c
Bird, MEX, 0a936727-8489-40b0-b796-d6409e6396ef, 29, 3006, No update data, 9g3qx2sm8jb9
Bird, MEX, 8a1405a7-96e7-4a71-a00e-f0dbea6efc5b, 52, 6478, No update data, 9g3qx2sdnez9
Bird, MEX, 6b64e429-32ca-4637-9fea-052043bccd92, 40, 4582, No update data, 9g3qx2s9ysrd
Bird, MEX, 041d2468-a93e-4420-8a8a-5c48e79eeea9, 67, 8848, No update data, 9g3qx2sdyvvu
Bird, MEX, e584cc88-0adb-49dd-8a12-2071b4e711d3, 76, 10270, No update data, 9g3qx2smcbwg
Bird, MEX, 103d3e7a-2550-4534-9eee-aeb7c8473e00, 22, 1837, No update data, 9g3qx2smb9wc
Bird, MEX, d98251e1-1eaf-4833-9190-ea87ec3c1ae7, 87, 12692, No update data, 9g3qx2st4825
Bird, MEX, 32f85680-c144-44a9-88f5-9eef25c7af20, 74, 9954, No update data, 9g3qx2sjy1z7
Bird, MEX, 625fefe3-c71b-4879-9717-67ac624441b5, 88, 12166, No update data, 9g3qx2sdzvr2
Bird, MEX, f31d0470-fe1f-45b3-89ab-eaa480b9ab78, 87, 12692, No update data, 9g3qx2sjzxsp
Bird, MEX, cc7b59e8-11b8-4f74-a225-7b9a5b98d978, 100, 14062, No update data, 9g3qx2sj9tg9
Bird, MEX, 15d3af48-27d8-4efb-8611-c0793111630e, 98, 13746, No update data, 9g3qx2snjyuk
Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 100, 14062, No update data, 9g3qx2eyp32c
Bird, MEX, 0472c62d-66de-49a6-8e07-cc7d00f6eef2, 76, 10270, No update data, 9g3qx2kqhr0n
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qx2evvzkq
Bird, MEX, 4521d046-9833-459e-8b52-5f7c13afcc7d, 100, 14062, No update data, 9g3qx2ey58pc
Bird, MEX, 30edc067-af20-4ab3-a0ef-cc74bf507904, 91, 12640, No update data, 9g3qx2kmv6ry
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 83, 12024, No update data, 9g3qx2kjqx68
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 100, 14062, No update data, 9g3qx2ey7hy9
Bird, MEX, c74e1423-1bb4-46b7-8c3b-28dfad90d9a6, 89, 13026, No update data, 9g3qx2sx38g8
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 100, 14062, No update data, 9g3qx2ewpff7
Bird, MEX, 2c18de1b-a07b-4bca-b155-389a9637f6d1, 79, 10744, No update data, 9g3qx2sx9g8s
