Bird, MEX, 0feea2ab-559e-4baf-acd1-07d7a343162f, 49, 6004, No update data, 9g3qx2s20pt8
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 74, 10521, No update data, 9g3qx2kr92jq
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 100, 14863, No update data, 9g3qx2evkr21
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 99, 14696, No update data, 9g3qx2eyh225
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 100, 14863, No update data, 9g3qx2ey4t24
Bird, MEX, 7892ab95-fbf1-4e16-b4a8-613dffd817a2, 100, 14863, No update data, 9g3qx2evbugy
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 100, 14863, No update data, 9g3qx2ey1rt2
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 100, 14863, No update data, 9g3qx2ewp32c
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 81, 11060, No update data, 9g3qx2tje5ws
Bird, MEX, 7c79ce4c-e6ae-4973-ba0e-be05a5a8a146, 100, 14062, No update data, 9g3qx2e35nyk
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 79, 10744, No update data, 9g3qx2tjmdyj
Bird, MEX, 5e9e163f-531a-42a2-96eb-1d041cb6ec0f, 100, 14863, No update data, 9g3qx2e3671z
Bird, MEX, a887ba12-e8d1-4f6d-902e-23547d0a99b7, 100, 14062, No update data, 9g3qx2e33c2s
Bird, MEX, 75d857c7-321b-4a91-8aaa-13d402bc0160, 100, 14062, No update data, 9g3qx2e38syg
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qx2e32syc
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 63, 8216, No update data, 9g3qx27mfdv0
Bird, MEX, cc13bcea-a99d-4e3a-ad0a-77d722f8b5b5, 100, 14863, No update data, 9g3qx27mhbcr
Bird, MEX, 58be8354-2838-4244-8727-1281fa5e56b3, 100, 14863, No update data, 9g3qx27m7drc
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 100, 14863, No update data, 9g3qx27kuwkr
Bird, MEX, 676ea6db-4c6f-45ca-b25e-4bf867de4c67, 71, 9480, No update data, 9g3qx2kfe523
Bird, MEX, 91437326-50a5-4ba8-a8ad-3140909f11bf, 99, 14696, No update data, 9g3qx27m4wbh
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 100, 14863, No update data, 9g3qx27keyhg
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 100, 14863, No update data, 9g3qx27kkryk
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 100, 14863, No update data, 9g3qx277vzkj
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 66, 8690, No update data, 9g3qx2hxy0zk
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 43, 5056, No update data, 9g3qx2gsvk4b
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 31, 3340, No update data, 9g3qx2tc9w5e
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 40, 4843, No update data, 9g3qx2g5d31u
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 49, 6004, No update data, 9g3qx2hyngju
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 64, 8374, No update data, 9g3qx2f9m2zb
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 64, 8374, No update data, 9g3qx2fuxdkh
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 80, 11523, No update data, 9g3qx2h5yp3j
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 75, 10688, No update data, 9g3qx2h5uq2p
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 69, 9164, No update data, 9g3qx2h5vmxc
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 80, 11523, No update data, 9g3qx2h5zsh0
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 60, 8183, No update data, 9g3qx25jye4d
