Bird, MEX, 570fb196-266f-44be-acb1-4b9928e6e727, 72, 10187, No update data, 9g3qx2s2u4g0
Bird, MEX, eeef1113-26dc-43c5-bbcd-2a5d00a65422, 84, 11534, No update data, 9g3qx2s2h4g5
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 52, 6847, No update data, 9g3qx2kr5pnw
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 78, 11189, No update data, 9g3qx2kr4ev1
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 78, 11189, No update data, 9g3qx2kqbr7v
Bird, MEX, 0feea2ab-559e-4baf-acd1-07d7a343162f, 48, 5846, No update data, 9g3qx2kqdzgr
Bird, MEX, 5a06f171-00ed-44e6-8b0a-3d8d034e4339, 31, 3160, No update data, 9g3qx27zuypw
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 100, 14863, No update data, 9g3qx2ey5k7m
Bird, MEX, 7892ab95-fbf1-4e16-b4a8-613dffd817a2, 98, 14529, No update data, 9g3qx2ey18gx
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 98, 14529, No update data, 9g3qx2ey6ygr
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 99, 14696, No update data, 9g3qx2ey3t5e
Bird, MEX, 72e5c7fc-aafe-4af7-a8bd-2dab14198c40, 38, 4509, No update data, 9g3qx2kjn0p3
Bird, MEX, dfdf996f-afff-4aae-bd79-277a0a748069, 45, 5372, No update data, 9g3qx2kt4ueq
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 98, 14529, No update data, 9g3qx2ewx7zn
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 35, 3792, No update data, 9g3qx2ksen8r
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 78, 10586, No update data, 9g3qx2theqex
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 80, 10902, No update data, 9g3qx2tj552r
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 100, 14863, No update data, 9g3qx2szv1ue
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 100, 14863, No update data, 9g3qx2szwh32
Bird, MEX, cb850067-912d-4ae7-baf7-7d78522c4075, 38, 4509, No update data, 9g3qx2e37w3e
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 97, 14362, No update data, 9g3qx2ex7m57
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 75, 10688, No update data, 9g3qx2szvnud
