Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 94, 13861, No update data, 9g3qx2sh7ezg
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 60, 8183, No update data, 9g3qx2shzmr0
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 91, 13360, No update data, 9g3qx2sh6n7e
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 92, 13527, No update data, 9g3qx2shftm0
Bird, MEX, c73e8709-e74f-41a9-b6a7-fcdeeaf67de2, 93, 13694, No update data, 9g3qx2sm3j45
Bird, MEX, 3bb052c4-2a93-4b6b-afd9-41082e83ee6f, 93, 13694, No update data, 9g3qx2sm7ece
Bird, MEX, 2695188d-bdf5-4ac9-972d-d0bc17ec4631, 96, 13430, No update data, 9g3qx2kry190
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 99, 13904, No update data, 9g3qx2sjkfzt
Bird, MEX, 9db941e9-8224-4cca-a156-c6c9f469572d, 90, 12482, No update data, 9g3qx2krydz8
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 93, 13694, No update data, 9g3qx2sj42cz
Bird, MEX, 57a20516-d02b-4145-8c2e-0f9a9c450135, 81, 11690, No update data, 9g3qx2sme0b6
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 74, 9954, No update data, 9g3qx2smkr21
Bird, MEX, 6c582eb7-4c3f-46bf-8b84-bd462dd3ed58, 89, 13026, No update data, 9g3qx2sms9hs
Bird, MEX, 4606e4f6-20fd-4f19-a126-e75636de7818, 93, 12956, No update data, 9g3qx2sj1065
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 72, 10187, No update data, 9g3qx2kxb4mw
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 93, 13694, No update data, 9g3qx2sj617s
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 98, 13746, No update data, 9g3qx2sjwqkm
Bird, MEX, 215a9e38-3932-404b-8bb2-2f449c5697ec, 26, 2505, No update data, 9g3qx2krmvsr
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 97, 14362, No update data, 9g3qx2sjz5sn
Bird, MEX, d964fcfa-6bc4-46a1-852a-ae21f9605e64, 78, 10586, No update data, 9g3qx2sdrg4r
Bird, MEX, 2affb293-e733-4a4a-ad12-30ed5cab44e6, 89, 12324, No update data, 9g3qx2sj2h0t
Bird, MEX, 777ef17c-8f23-4999-a4fc-a87c85badfaf, 74, 9954, No update data, 9g3qx2sf32b2
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 36, 4175, No update data, 9g3qx2evqvjg
