Bird, MEX, 2affb293-e733-4a4a-ad12-30ed5cab44e6, 87, 12008, No update data, 9g3qx2s5sxk7
Bird, MEX, 33ac9d70-9e28-4689-9c1c-d75e1efd8b22, 76, 10270, No update data, 9g3qx2s59dew
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 31, 3340, No update data, 9g3qx2sh423g
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 89, 13026, No update data, 9g3qx2sh6r3c
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 87, 12692, No update data, 9g3qx2shew3t
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 16, 835, No update data, 9g3qx2efnqk2
Bird, MEX, 57a20516-d02b-4145-8c2e-0f9a9c450135, 78, 11189, No update data, 9g3qx2sjptsh
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 89, 13026, No update data, 9g3qx2sh9zqe
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 88, 12859, No update data, 9g3qx2sh9q8r
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 57, 7682, No update data, 9g3qx2sm2t8z
Bird, MEX, b3108a58-c55c-46b6-b33b-f3b0aed9b5a1, 96, 14195, No update data, 9g3qx2kr8h0x
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 96, 13430, No update data, 9g3qx2sjqzmc
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 94, 13114, No update data, 9g3qx2sjx79h
Bird, MEX, d4b35238-c0ab-4a0f-b0ed-3743711102fa, 47, 5688, No update data, 9g3qx2smr5u5
Bird, MEX, c73e8709-e74f-41a9-b6a7-fcdeeaf67de2, 89, 13026, No update data, 9g3qx2sjxnsp
Bird, MEX, 9b563fbc-f679-4602-8271-770b76a34bb5, 36, 4175, No update data, 9g3qx2kxcz8x
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 72, 9638, No update data, 9g3qx2sjz3x1
Bird, MEX, 954abfe8-af67-4c1a-bd54-30dbe18024be, 79, 11356, No update data, 9g3qx2kr78ry
Bird, MEX, 2695188d-bdf5-4ac9-972d-d0bc17ec4631, 92, 12798, No update data, 9g3qx2kr4x0n
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 90, 13193, No update data, 9g3qx2sj0s8z
Bird, MEX, 173f991f-09a7-417d-ab92-9582f3b246e1, 43, 5056, No update data, 9g3qx2smgwpy
Bird, MEX, 6c582eb7-4c3f-46bf-8b84-bd462dd3ed58, 84, 12191, No update data, 9g3qx2smv7dy
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 92, 13527, No update data, 9g3qx2sq088v
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 96, 14195, No update data, 9g3qx2snn4z7
Bird, MEX, 9af95c43-06bf-4cbd-83ca-ba7881c6a2bb, 49, 6004, No update data, 9g3qx2sqnbmg
Bird, MEX, 215a9e38-3932-404b-8bb2-2f449c5697ec, 22, 1837, No update data, 9g3qx2kqsess
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 96, 14195, No update data, 9g3qx2sn0f5z
Bird, MEX, 6f6d7458-76fd-4ebd-a952-b01e9b149241, 54, 7181, No update data, 9g3qx2eermp5
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 97, 13588, No update data, 9g3qx2sndsm0
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 98, 14529, No update data, 9g3qx2sn9vnt
Bird, MEX, d683562e-1e81-488e-a1d9-4dcccef032c1, 97, 14362, No update data, 9g3qx2ey7xzu
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 98, 13746, No update data, 9g3qx2ey8f7u
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 65, 9018, No update data, 9g3qx2e3gw1w
Bird, MEX, c7e10af2-fc44-4b1b-addc-7075d43d3492, 78, 10586, No update data, 9g3qx27s1qbk
Bird, MEX, 3b188619-b3c5-4dd7-8a1d-4d6c8ceb6f5a, 100, 14062, No update data, 9g3qx2tkwqey
Bird, MEX, 9009e2a2-75b0-43df-9c8d-4f4cf98892b0, 51, 6680, No update data, 9g3qx2g0yfvc
Bird, MEX, 18dd85d0-e080-4937-b7eb-862a4f837eeb, 87, 12008, No update data, 9g3qx2g7jm4c
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 94, 13114, No update data, 9g3qx278qrk2
Bird, MEX, 7c4d6cbf-ad3f-4db3-a4b1-195bf9a33fda, 31, 3160, No update data, 9g3qx2ttnftc
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 78, 11189, No update data, 9g3qx2m0zmr2
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 83, 12024, No update data, 9g3qx2m0hu9w
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 79, 11356, No update data, 9g3qx26u0f5z
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 18, 1106, No update data, 9g3qx2musqn7
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 56, 7515, No update data, 9g3qx26myhzq
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 71, 9480, No update data, 9g3qx2qhuwg3
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 58, 7426, No update data, 9g3qx2h5qquq
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 47, 6012, No update data, 9g3qx25nhbzx
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 94, 13114, No update data, 9g3qx3h3y1x3
Bird, MEX, 7d2a0c91-6de2-4c7b-a82e-0336d9591b1e, 70, 9853, No update data, 9g3qx2dnsz13
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 54, 6794, No update data, 9g3qx2j7gdry
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 63, 8216, No update data, 9g3qx2j7teyj
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 87, 12692, No update data, 9g3qx265q8dx
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 79, 11356, No update data, 9g3qx265qj3j
