Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 89, 13026, No update data, 9g3qrqz5be8u
Bird, MEX, 23fb07f2-a4d6-42ff-bcae-ca42e3e7c2d5, 90, 13193, No update data, 9g3qrqyup6z3
Bird, MEX, fe31c2d5-7da4-44ca-b3ec-d3fda166082f, 88, 12859, No update data, 9g3qrqygzyrq
Bird, MEX, 75955305-ed9e-4c4f-b558-f90ba2a261cf, 89, 13026, No update data, 9g3qrqyun9x9
Bird, MEX, a2ff7417-9112-4bc5-8be8-22e93074dde4, 72, 10187, No update data, 9g3qrrnycgbx
Bird, MEX, c9a81672-4207-47a8-9d23-fc583e87ff00, 83, 11376, No update data, 9g3qrrnebsx4
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 83, 11376, No update data, 9g3qrqy6n0cm
Bird, MEX, de769961-9a17-48d9-81be-cd8a0e7e9761, 76, 10855, No update data, 9g3qrqwrdq41
Bird, MEX, d69d75b7-7b90-450e-9ea8-c3bb95afba87, 61, 8350, No update data, 9g3qrrqm6p5z
Bird, MEX, c98931a9-a317-44a6-8463-984fb18b1db7, 58, 7426, No update data, 9g3qrqwfm26u
Bird, MEX, 0bbb28d6-93ea-47d5-9816-7faf5040dca8, 71, 9480, No update data, 9g3qrrm9vbu7
Bird, MEX, 4a57bce6-240c-4f39-8f12-1730ad8f4332, 56, 7515, No update data, 9g3qrrjxcx5d
Bird, MEX, 3a2f908d-6afa-42a5-aba9-cda5746b82fa, 76, 10270, No update data, 9g3qrw97m6e1
Bird, MEX, 221323ed-085c-4217-85bb-65377dac26f9, 64, 8851, No update data, 9g3qrrw0kj54
Bird, MEX, b5ed1b54-6058-4c55-b22f-91e187824b46, 74, 9954, No update data, 9g3qrqtxsyzx
Bird, MEX, a61428f1-a0e2-4a3c-93b9-4d1385d25a48, 78, 11189, No update data, 9g3qrw2rjg55
Bird, MEX, e9e2d3de-8166-4982-bbda-4ae923998cfe, 75, 10688, No update data, 9g3qrw2rn6ht
Bird, MEX, eb7c41e2-8379-4bb5-bd77-4aafab68d878, 71, 10020, No update data, 9g3qrrw1qzjz
Bird, MEX, df93345a-4f11-4909-8624-0e716358e24b, 78, 11189, No update data, 9g3qrw2nhkbn
Bird, MEX, 25cfb5d7-49d6-42a0-9441-54fb6afe8a9d, 72, 9638, No update data, 9g3qrqw4g2ge
Bird, MEX, f6d2ea61-6e6c-45f1-9017-512521475e11, 93, 13694, No update data, 9g3qrrmknd4w
Bird, MEX, d840feaf-c985-485d-876c-0cfbede3ddde, 57, 7682, No update data, 9g3qrqw1tput
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 100, 14062, No update data, 9g3qrw90r395
Bird, MEX, fd0fe2df-4e44-46e8-94bb-2b4d73528963, 94, 13861, No update data, 9g3qrw920k5b
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 96, 13430, No update data, 9g3qrw90pcd9
Bird, MEX, b02929aa-0efe-4fc2-968d-9beeff470fda, 85, 11692, No update data, 9g3qrrjpk5e0
Bird, MEX, af974b4b-e580-477f-86c8-eac3533e8cf6, 64, 8851, No update data, 9g3qrqw0yjzd
Bird, MEX, f7e8f4e9-ab23-4d95-857d-f13c918f9ff0, 93, 13694, No update data, 9g3qrw3rbt0y
Bird, MEX, 9314c402-01ec-4f2c-bc62-378bd0105d48, 64, 8374, No update data, 9g3qrqw0kycs
Bird, MEX, 876f7d81-5ed1-4c62-82e5-ab69836be8ab, 97, 13588, No update data, 9g3qrqw048t5
Bird, MEX, c0b11fda-3e42-49aa-9924-5ee5537c2d18, 55, 7348, No update data, 9g3qrrmqfp7u
Bird, MEX, 396e7f9c-f448-48bf-93dd-e75274811c7f, 64, 8374, No update data, 9g3qrqqgyp9m
Bird, MEX, b8b70173-8d1f-4bd2-b0c9-6939480df112, 87, 12008, No update data, 9g3qrqqgykus
Bird, MEX, ff69216f-8d9d-4e60-900b-8f58a8af0e72, 69, 9686, No update data, 9g3qrqqgvgeh
Bird, MEX, aa010889-f2ec-46a5-92c2-36a6ed762d65, 72, 10187, No update data, 9g3qrqqgtrzv
Bird, MEX, c84fe83f-544d-491f-a10b-7506ab8c43a8, 71, 9480, No update data, 9g3qrqqgfue6
Bird, MEX, a4105f5c-9865-4161-abbd-ed258a6b363a, 29, 2844, No update data, 9g3qrrkfm6rb
Bird, MEX, a33764ba-944d-4c3d-8e34-05a2366d2d93, 83, 12024, No update data, 9g3qrrkc575e
Bird, MEX, b1a8a411-6d3e-4ba5-911d-3761fea4776c, 69, 9686, No update data, 9g3qrw3w17je
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 94, 13114, No update data, 9g3qrqtp24ve
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 93, 12956, No update data, 9g3qrqszx9sn
Bird, MEX, e9527187-e76e-49da-8556-2af2207bb65a, 64, 8851, No update data, 9g3qrqqgp4kp
Bird, MEX, d340e88d-946c-4d25-9f7b-14fbca488905, 93, 12956, No update data, 9g3qrqtn3ybt
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 89, 13026, No update data, 9g3qrqszpwu4
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 89, 13026, No update data, 9g3qrqsyzgdk
Bird, MEX, ca85b8b8-75e2-4a9e-b988-a70467097da7, 79, 10744, No update data, 9g3qrwd15x1u
Bird, MEX, 302b2707-28fc-4e7d-a9f8-8dba0fd1d32e, 90, 12482, No update data, 9g3qrrk9ejqw
Bird, MEX, a0565e41-f74c-4fd8-a178-b9cd7bb58044, 44, 3894, No update data, 9g3qrrttsfcx
