Bird, MEX, 26a8ee8a-17c1-4ac3-8809-fc6f9880cb56, 78, 11189, No update data, 9g3qx2s2x4kh
Bird, MEX, 9959f39d-ba07-4800-8304-eb93a25c6369, 97, 14362, No update data, 9g3qx2s2hqyk
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 93, 13694, No update data, 9g3qx2krghqd
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 93, 13694, No update data, 9g3qx2sduv96
Bird, MEX, da69e40b-993c-4e81-bbd0-abf31fb4b105, 93, 13694, No update data, 9g3qx2krdrcz
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 65, 9018, No update data, 9g3qx2sjqepx
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 67, 8848, No update data, 9g3qx2krv3ff
Bird, MEX, c9c56f4a-1c23-44ae-92e2-4c6331d5cce8, 97, 14362, No update data, 9g3qx2kr9c2w
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 97, 14362, No update data, 9g3qx2sjx21n
Bird, MEX, 513ed36c-6979-4d56-996d-2ff618a28cca, 40, 4843, No update data, 9g3qx2sjxg66
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 46, 5845, No update data, 9g3qx2kr7mer
Bird, MEX, 1c69ee89-ee46-4f2a-b79c-7586cb6f4e58, 71, 10020, No update data, 9g3qx2sm8mgc
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 98, 13746, No update data, 9g3qx2sdwyjg
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 45, 5678, No update data, 9g3qx2senbtv
Bird, MEX, b5b4710e-4918-4c0a-8354-8eb34552f8f3, 67, 9352, No update data, 9g3qx2sjz3pp
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 93, 13694, No update data, 9g3qx2sjy9d9
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 63, 8684, No update data, 9g3qx2euwwdx
Bird, MEX, 8bbc750e-96f2-4c4a-9d07-c47c617e0c31, 83, 12024, No update data, 9g3qx2euygmu
Bird, MEX, 5580289f-53bf-4533-9797-a0604e5d8de0, 71, 9480, No update data, 9g3qx2euy9fe
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 53, 7014, No update data, 9g3qx2euwn3j
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 89, 13026, No update data, 9g3qx2sdzufq
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 91, 13360, No update data, 9g3qx2evpqzh
Bird, MEX, 86309a22-3859-45de-b969-ca32cec6963c, 94, 13861, No update data, 9g3qx2sg075v
Bird, MEX, fd3d2df8-1318-456c-b349-fa0606ea278c, 58, 7849, No update data, 9g3qx2evn7u3
Bird, MEX, 400c371d-2099-4e37-a0f1-4d7e42ec8717, 94, 13114, No update data, 9g3qx2snj64z
Bird, MEX, 3820960e-d68d-409f-9b9f-6d38c4e6b8a4, 96, 13430, No update data, 9g3qx2krnfvg
Bird, MEX, 6a00610f-7d20-435e-9eda-3cddc175382b, 54, 7181, No update data, 9g3qx2evrpuh
Bird, MEX, ca6a9cdf-af07-40fa-a73c-36281c06e5ee, 94, 13861, No update data, 9g3qx2evq410
