Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 65, 8532, No update data, 9g3qx2s3tysr
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 45, 5678, No update data, 9g3qx2s28p8t
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 97, 14362, No update data, 9g3qx2sh316h
Bird, MEX, 3820960e-d68d-409f-9b9f-6d38c4e6b8a4, 96, 13430, No update data, 9g3qx2krggsy
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 62, 8517, No update data, 9g3qx2shf23c
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 92, 13527, No update data, 9g3qx2sekxus
Bird, MEX, c385cd25-1cbc-455d-9eac-08e61c9e01b1, 60, 8183, No update data, 9g3qx2kpv3ff
Bird, MEX, 5580289f-53bf-4533-9797-a0604e5d8de0, 71, 9480, No update data, 9g3qx2sh9p41
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 89, 13026, No update data, 9g3qx2semukr
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 97, 13588, No update data, 9g3qx2semuu3
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 92, 13527, No update data, 9g3qx2sm9h60
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 91, 13360, No update data, 9g3qx2shb3gg
Bird, MEX, ed7914f1-8973-4e35-a539-75f8cfff8f06, 99, 14696, No update data, 9g3qx2shbv7b
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 44, 5511, No update data, 9g3qx2setewh
Bird, MEX, 1c69ee89-ee46-4f2a-b79c-7586cb6f4e58, 71, 10020, No update data, 9g3qx2sm8tnv
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 96, 14195, No update data, 9g3qx2sm8tyc
Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 85, 11692, No update data, 9g3qx2sj1ybs
Bird, MEX, 0a5d09e3-707a-4b05-a5a1-fe6473990d37, 89, 13026, No update data, 9g3qx2euwdrs
Bird, MEX, 7bc14d68-649a-442a-bbf3-309ea43ea7eb, 76, 10270, No update data, 9g3qx2shbnt8
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 66, 8690, No update data, 9g3qx2kr7ghz
Bird, MEX, 7df2f274-a7b1-4b63-a7ed-827295a93913, 89, 13026, No update data, 9g3qx2smg183
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 94, 13861, No update data, 9g3qx2euzwhn
Bird, MEX, fd3d2df8-1318-456c-b349-fa0606ea278c, 58, 7849, No update data, 9g3qx2euz78y
Bird, MEX, 6a00610f-7d20-435e-9eda-3cddc175382b, 53, 7014, No update data, 9g3qx2sj28nu
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 98, 13746, No update data, 9g3qx2sjsnep
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 65, 9018, No update data, 9g3qx2smbqeb
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 94, 13861, No update data, 9g3qx2evp0h1
Bird, MEX, 86309a22-3859-45de-b969-ca32cec6963c, 93, 13694, No update data, 9g3qx2sersu1
Bird, MEX, 8bbc750e-96f2-4c4a-9d07-c47c617e0c31, 83, 12024, No update data, 9g3qx2evn2sm
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 74, 10521, No update data, 9g3qx2ebgtrb
Bird, MEX, ca6a9cdf-af07-40fa-a73c-36281c06e5ee, 93, 13694, No update data, 9g3qx2evru4m
Bird, MEX, 400c371d-2099-4e37-a0f1-4d7e42ec8717, 94, 13114, No update data, 9g3qx2snh2bp
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 90, 13193, No update data, 9g3qx2sj8k7b
Bird, MEX, 9959f39d-ba07-4800-8304-eb93a25c6369, 97, 14362, No update data, 9g3qx2kqvkrf
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 99, 14696, No update data, 9g3qx2eu469c
