Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 97, 13588, No update data, 9g3qx2sduc1r
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 88, 12859, No update data, 9g3qx2sdsfrs
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 93, 13694, No update data, 9g3qx2sh2ebg
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 44, 5511, No update data, 9g3qx2sdj2rg
Bird, MEX, 86309a22-3859-45de-b969-ca32cec6963c, 92, 13527, No update data, 9g3qx2sdvdqn
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 91, 13360, No update data, 9g3qx2sdtbu6
Bird, MEX, ca6a9cdf-af07-40fa-a73c-36281c06e5ee, 92, 13527, No update data, 9g3qx2eurkrp
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 92, 13527, No update data, 9g3qx2sm9cb8
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 90, 13193, No update data, 9g3qx2eux9kn
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 93, 13694, No update data, 9g3qx2euqymg
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 52, 6847, No update data, 9g3qx2eujdnp
Bird, MEX, 7bc14d68-649a-442a-bbf3-309ea43ea7eb, 75, 10112, No update data, 9g3qx2euxk2b
Bird, MEX, fd3d2df8-1318-456c-b349-fa0606ea278c, 57, 7682, No update data, 9g3qx2euqwfx
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 64, 8851, No update data, 9g3qx2sjwnp7
Bird, MEX, 6a00610f-7d20-435e-9eda-3cddc175382b, 53, 7014, No update data, 9g3qx2euzv62
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 44, 5511, No update data, 9g3qx2krm4k9
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 61, 8350, No update data, 9g3qx2euy9px
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 96, 14195, No update data, 9g3qx2sjsmb1
