Bird, MEX, 42eb6ffe-5c0a-4d86-9901-ae791db06875, 89, 13026, No update data, 9g3qrq723mtk
Bird, MEX, 5e667f13-2042-419b-9d4d-b45c9585cf2d, 98, 13746, No update data, 9g3qrq70p1u5
Bird, MEX, 72e4b636-06ec-449c-b189-197fe291ae27, 98, 13746, No update data, 9g3qrq6gj4u9
Bird, MEX, 0528279b-8efa-4958-bde7-861be79c2a77, 97, 13588, No update data, 9g3qrq6ghdkr
Bird, MEX, 572d06a9-c198-4807-9f4b-179314d10171, 75, 10688, No update data, 9g3qrq6gheh6
Bird, MEX, e035ac1b-4153-4fc1-8af1-f9e9405c9821, 81, 11690, No update data, 9g3qrq6ghu36
Bird, MEX, f6b17a69-bebc-40d6-b178-34354a6a0db4, 98, 13746, No update data, 9g3qrq6ghsk6
Bird, MEX, 5e421af7-331e-4685-9b76-ae92936cf173, 89, 13026, No update data, 9g3qrq6gh7n4
Bird, MEX, 173f1e69-c364-40c9-9e6c-ecd2505b0227, 42, 4898, No update data, 9g3qrq6zbkgu
Bird, MEX, aba5b423-a0cd-41d8-b028-d1f8997d6f28, 62, 8517, No update data, 9g3w81vb1gy6
Bird, MEX, ebbb297c-b860-4350-b536-09a4573b5fc1, 44, 5214, No update data, 9g3qws0sk6qt
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 16, 835, No update data, 9g3qw2c9gvbh
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 15, 668, No update data, 9g3qw0wdrshm
Bird, MEX, 5f4e74db-7d2f-4113-af58-7017550f325d, 48, 5846, No update data, 9g3qqrktc7tt
Bird, MEX, cd6a2d4c-6ac2-4f67-b348-eadf8afeb6ab, 31, 3160, No update data, 9g3qqr5p0e0g
Bird, MEX, cb32064e-e6d9-4864-98bf-29f6228aa12f, 70, 9853, No update data, 9g3qr5yqsc33
Bird, MEX, 3b1cfaf6-8f4a-4435-808b-a7176c9244a7, 25, 2212, No update data, 9g3qr5twd3zv
Bird, MEX, 220349d2-bd8f-4991-86e3-8baaf8389620, 47, 6012, No update data, 9g3qrjnb4r3u
Bird, MEX, d427296d-6bbf-4c3e-95a3-618a119c25cb, 55, 6952, No update data, 9g3qrhu4nrmk
Bird, MEX, 5b32d2f5-8320-4e30-bf99-6102dfac7da7, 74, 10521, No update data, 9g3qrhuquk90
Bird, MEX, cf5ec1f3-1f1b-4218-b0cf-e08a80fe6a48, 82, 11857, No update data, 9g3qrjnm9u0k
Bird, MEX, 16c7cf4e-86c0-4f4b-acc1-40d790523db6, 51, 6680, No update data, 9g3qrjh993j1
Bird, MEX, 5b361337-c718-43d3-a0e4-0af5405b98b3, 46, 5530, No update data, 9g3qrhgth7n1
Bird, MEX, aa50a915-b9af-4fa5-9a73-24fbd9ede63f, 74, 9954, No update data, 9g3qrjjj1s73
Bird, MEX, 193df21c-4f31-45a2-8816-3fb66bbc1252, 51, 6680, No update data, 9g3qrj58nhzj
Bird, MEX, 194c2438-13d3-44c1-90a9-6a08eff53b62, 30, 3173, No update data, 9g3qrj5vpv4p
Bird, MEX, fb202af0-b526-4a0b-8793-d723e2f3c5c0, 66, 9185, No update data, 9g3qrj512s03
Bird, MEX, 08222e43-f034-4d58-8b48-1f6eb75e9051, 69, 9164, No update data, 9g3qrjk06nhx
Bird, MEX, 287da157-b274-4efb-ac59-9b39f3b96195, 63, 8216, No update data, 9g3qrj5q951y
Bird, MEX, b234cd18-69be-4da5-9072-07ab2714256d, 82, 11857, No update data, 9g3qrj5qb25t
Bird, MEX, d76e36ab-2579-4350-9891-3340721bca38, 57, 7682, No update data, 9g3qrj7d2sqs
Bird, MEX, 6e39e326-2b8c-433f-8618-e014a919889d, 42, 5177, No update data, 9g3qqgzub75r
Bird, MEX, dc8430a3-1abc-48e6-9a00-964cb947a6e8, 65, 9018, No update data, 9g3qrjknvcsp
Bird, MEX, 67fb3fce-1233-404a-94b3-170fa40d1d2e, 31, 3340, No update data, 9g3qrj77sfzm
Bird, MEX, c11bdef8-0da8-48c9-bfb9-1934a629915f, 91, 12640, No update data, 9g3qrj77vsvg
Bird, MEX, 601c2cd9-98aa-4b0a-979f-f0b46f1f2e59, 80, 10902, No update data, 9g3qrj9x9v16
Bird, MEX, 128ffdda-a955-4195-a5a8-141bcfc2d1cb, 88, 12166, No update data, 9g3qrj93h22b
Bird, MEX, 28cef4bb-f403-457c-98bf-f2cd11c7c142, 88, 12859, No update data, 9g3qrjdp2d82
Bird, MEX, 6de001ef-a6bd-4fa4-8d19-481450adc6d1, 80, 11523, No update data, 9g3qrjdp010q
Bird, MEX, 18d87776-a4f1-4050-96a6-250262e018f0, 82, 11857, No update data, 9g3qrjdp44kw
Bird, MEX, d9f3233f-c3ab-4a1c-b144-2d1fe8f2e4c5, 78, 11189, No update data, 9g3qrjdp6dsb
Bird, MEX, 4db703c5-7602-4b1c-b9d7-7aecbf472c3e, 48, 5846, No update data, 9g3qrjdx8gug
Bird, MEX, 72cb2e3c-90c4-456d-a495-6711b4029376, 75, 10112, No update data, 9g3qrjdxcmmp
Bird, MEX, 4c47f538-1446-41b5-a105-486797abe64f, 82, 11857, No update data, 9g3qrjdxfrcw
Bird, MEX, 8d2c22bc-0e3a-4756-8f3e-4a2dd8ce2217, 53, 7014, No update data, 9g3qrjep0yuc
Bird, MEX, df7b74d1-f066-436b-a30f-30b0e841d2fe, 71, 9480, No update data, 9g3qrjfgtetc
Bird, MEX, 32761dbe-a01a-4eac-8955-449bc653bdff, 87, 12008, No update data, 9g3qrjfgw943
Bird, MEX, 9c9b78bb-624a-42a0-9c14-f107091dd53f, 46, 5845, No update data, 9g3qrn48wtdr
