Bird, MEX, 7bc14d68-649a-442a-bbf3-309ea43ea7eb, 75, 10112, No update data, 9g3qx2s5ub33
Bird, MEX, 9959f39d-ba07-4800-8304-eb93a25c6369, 94, 13861, No update data, 9g3qx2s2904n
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 65, 8532, No update data, 9g3qx2s21tes
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 43, 5344, No update data, 9g3qx2krguuy
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 92, 13527, No update data, 9g3qx2egygmu
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 88, 12859, No update data, 9g3qx2sh91f0
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 64, 8851, No update data, 9g3qx2sjr7c5
Bird, MEX, fd3d2df8-1318-456c-b349-fa0606ea278c, 56, 7515, No update data, 9g3qx2eur6p0
Bird, MEX, 5580289f-53bf-4533-9797-a0604e5d8de0, 70, 9322, No update data, 9g3qx2eurr8f
Bird, MEX, aa0648ef-3f60-410c-91da-7786665136e3, 90, 12482, No update data, 9g3qx2sjkwur
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 89, 13026, No update data, 9g3qx2eunp1n
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 91, 13360, No update data, 9g3qx2sjxju1
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 87, 12692, No update data, 9g3qx2sdwbvf
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 94, 13861, No update data, 9g3qx2sjz9hp
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 96, 13430, No update data, 9g3qx2sdz3x1
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 51, 6680, No update data, 9g3qx2euzns0
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 90, 13193, No update data, 9g3qx2sf3zqb
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 57, 7682, No update data, 9g3qx2evwsfs
Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 84, 11534, No update data, 9g3qx2sn0jts
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 72, 10187, No update data, 9g3qx2eb45g9
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 92, 13527, No update data, 9g3qx2eyrhhj
Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 67, 9352, No update data, 9g3qx2srj8n1
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 42, 5177, No update data, 9g3qx2sft3fb
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 52, 6847, No update data, 9g3qx2sby11r
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 97, 13588, No update data, 9g3qx2ey6h5t
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 94, 13861, No update data, 9g3qx2eyg9xc
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 93, 13694, No update data, 9g3qx2eddn7t
Bird, MEX, df3ef9d4-411a-421f-9cf0-75a4a42c9d15, 73, 9796, No update data, 9g3qx27vtrpc
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 64, 8374, No update data, 9g3qx2khztk0
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 96, 14195, No update data, 9g3qx2eyck02
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 97, 14362, No update data, 9g3qx2ez1v09
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 53, 6636, No update data, 9g3qx2t03mmm
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 97, 14362, No update data, 9g3qx27rz5sn
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 92, 13527, No update data, 9g3qx2e3efku
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 94, 13114, No update data, 9g3qx2e3erke
Bird, MEX, 25715a67-ed37-401a-92f1-41d36c81b3ce, 62, 8517, No update data, 9g3qx2e34x80
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 56, 7110, No update data, 9g3qx27tc382
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 90, 13193, No update data, 9g3qx2e2f8vj
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 70, 9853, No update data, 9g3qx2ketkzg
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 46, 5530, No update data, 9g3qx2ubm6fv
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 71, 10020, No update data, 9g3qx27m6f73
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 91, 13360, No update data, 9g3qx27ku3b4
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 82, 11857, No update data, 9g3qx27ksu93
Bird, MEX, 1b05b679-49c0-4885-88d4-d5ea29359306, 76, 10855, No update data, 9g3qx2t7x8u4
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 78, 10586, No update data, 9g3qx2tkrrch
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 64, 8851, No update data, 9g3qx27pk4gj
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 81, 11690, No update data, 9g3qx27p5tcw
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 93, 13694, No update data, 9g3qx27pdw05
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 92, 13527, No update data, 9g3qx27k4b53
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 94, 13861, No update data, 9g3qx276gyuc
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 67, 9352, No update data, 9g3qx2kcm1ux
Bird, MEX, 8598b264-281b-42d5-92b7-1ab164e4c1b6, 100, 14062, No update data, 9g3qx2trxr11
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 93, 13694, No update data, 9g3qx2tx0w7m
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 65, 8532, No update data, 9g3qx27j6ejp
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 67, 8848, No update data, 9g3qx2795dpz
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 98, 13746, No update data, 9g3qx2tsvyu6
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 75, 10688, No update data, 9g3qx2gvp3bv
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 97, 13588, No update data, 9g3qx26zj5ht
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 73, 10354, No update data, 9g3qx2m0bq7z
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g7sk20
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 70, 6962, No update data, 9g3qx2tu8yh5
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 30, 3173, No update data, 9g3qx2g112tm
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 92, 13527, No update data, 9g3qx2tv28z0
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 94, 13114, No update data, 9g3qx26urxs4
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 65, 8532, No update data, 9g3qx2tv13vm
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 87, 12692, No update data, 9g3qx2m6n6u7
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 55, 6952, No update data, 9g3qx2urx4sn
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 84, 11534, No update data, 9g3qx25w7cuz
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 66, 8690, No update data, 9g3qx25vsbx8
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 51, 4720, No update data, 9g3qx25vm7fg
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25v3kmr
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 30, 3173, No update data, 9g3qx26f2v7v
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 79, 11356, No update data, 9g3qx2hhs3nk
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 93, 13694, No update data, 9g3qx26cd21y
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 67, 9352, No update data, 9g3qx2hhn0xm
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 96, 13430, No update data, 9g3qx26c8dyz
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 96, 14195, No update data, 9g3qx2hhj0ux
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 79, 8024, No update data, 9g3qx2y055b3
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dqkfrd
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 36, 4175, No update data, 9g3qx2h7b35y
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 97, 14362, No update data, 9g3qx2h5y030
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2h5sfp9
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 97, 14362, No update data, 9g3qx2h5w3kq
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 98, 14529, No update data, 9g3qx2h5mtqh
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 67, 9352, No update data, 9g3qx2h5qhz2
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 83, 12024, No update data, 9g3qx2gnep8m
