Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 51, 6680, No update data, 9g3qx2s7082g
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 92, 13527, No update data, 9g3qx2s4h3ym
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 88, 12859, No update data, 9g3qx2s1pssn
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 90, 13193, No update data, 9g3qx2s6zr9p
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 92, 13527, No update data, 9g3qx2s54r9b
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 57, 7682, No update data, 9g3qx2s53k0m
Bird, MEX, 9959f39d-ba07-4800-8304-eb93a25c6369, 94, 13861, No update data, 9g3qx2s27nbq
Bird, MEX, 5580289f-53bf-4533-9797-a0604e5d8de0, 70, 9322, No update data, 9g3qx2s5cq0q
Bird, MEX, 7bc14d68-649a-442a-bbf3-309ea43ea7eb, 75, 10112, No update data, 9g3qx2efrpk0
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 96, 13430, No update data, 9g3qx2sdu57h
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 42, 5177, No update data, 9g3qx2sdtk6b
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 88, 12859, No update data, 9g3qx2sh2hv9
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 87, 12692, No update data, 9g3qx2sdyfmy
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 90, 13193, No update data, 9g3qx2sjycjz
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 97, 13588, No update data, 9g3qx2eujnk8
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 65, 8532, No update data, 9g3qx2kr429v
Bird, MEX, aa0648ef-3f60-410c-91da-7786665136e3, 90, 12482, No update data, 9g3qx2sq2pm9
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 94, 13861, No update data, 9g3qx2evwn3j
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 63, 8684, No update data, 9g3qx2snxwh5
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 93, 13694, No update data, 9g3qx2sntuuk
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 43, 5344, No update data, 9g3qx2kq7dxg
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 72, 10187, No update data, 9g3qx2eb1tes
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 97, 14362, No update data, 9g3qx2eynmsk
Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 83, 11376, No update data, 9g3qx2eyrmxp
Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 67, 9352, No update data, 9g3qx2sr51yt
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 93, 13694, No update data, 9g3qx2edm4k9
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 96, 14195, No update data, 9g3qx2ey7zsg
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 51, 6680, No update data, 9g3qx2sbjrdb
Bird, MEX, df3ef9d4-411a-421f-9cf0-75a4a42c9d15, 73, 9796, No update data, 9g3qx2kj96mk
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 53, 6636, No update data, 9g3qx2kzv8w5
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 64, 8374, No update data, 9g3qx2k7ckm6
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 46, 5530, No update data, 9g3qx2tn9w7t
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 92, 13527, No update data, 9g3qx2e35xzf
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 90, 13193, No update data, 9g3qx2e375y7
Bird, MEX, 25715a67-ed37-401a-92f1-41d36c81b3ce, 62, 8517, No update data, 9g3qx2e2fy5q
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 56, 7110, No update data, 9g3qx27qpy62
