Bird, MEX, 5580289f-53bf-4533-9797-a0604e5d8de0, 70, 9322, No update data, 9g3qx2s5dm1v
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 97, 13588, No update data, 9g3qx2sh17b3
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 96, 13430, No update data, 9g3qx2sdshg5
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 96, 14195, No update data, 9g3qx2sh3s5t
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 92, 13527, No update data, 9g3qx2sh3v2t
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 85, 12358, No update data, 9g3qx2sdub33
Bird, MEX, 93280a94-9edd-4013-9c8e-0740ff46ccaf, 63, 8684, No update data, 9g3qx2sjprpn
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 42, 5177, No update data, 9g3qx2sdmnux
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 49, 6346, No update data, 9g3qx2shf61v
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 96, 14195, No update data, 9g3qx2sh8s2b
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 56, 7515, No update data, 9g3qx2eunxd8
Bird, MEX, c07c0fdf-a0d7-40d1-8821-4fdc68e77df5, 93, 13694, No update data, 9g3qx2sjkyzx
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 90, 13193, No update data, 9g3qx2sdy8xe
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 65, 8532, No update data, 9g3qx2kr3b0s
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 91, 13360, No update data, 9g3qx2euzkby
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 88, 12859, No update data, 9g3qx2evx8hn
Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 83, 11376, No update data, 9g3qx2evxgdk
Bird, MEX, 45bb583d-2767-421c-b5e6-c4417127845b, 43, 5344, No update data, 9g3qx2kqdw2j
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 90, 13193, No update data, 9g3qx2sn7fkf
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 94, 13861, No update data, 9g3qx2evtrxv
Bird, MEX, 461a7c71-4eec-4e88-8ecb-6ea2a413f4db, 72, 9638, No update data, 9g3qx2kn8syg
Bird, MEX, aa0648ef-3f60-410c-91da-7786665136e3, 89, 12324, No update data, 9g3qx2squm20
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 92, 13527, No update data, 9g3qx2een7kr
Bird, MEX, 36ea52e7-00da-42ef-9446-a1eee5a94389, 71, 10020, No update data, 9g3qx2eb12br
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 64, 8374, No update data, 9g3qx2kn5hqs
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 51, 6680, No update data, 9g3qx2sbkp70
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 53, 6636, No update data, 9g3qx2sbkknm
Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 66, 9185, No update data, 9g3qx2sx84jd
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 90, 13193, No update data, 9g3qx2e3eysz
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 92, 13527, No update data, 9g3qx2e35fsc
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 70, 9853, No update data, 9g3qx2ksnvjb
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 46, 5530, No update data, 9g3qx2tp20js
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 94, 13114, No update data, 9g3qx2e36d21
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 78, 10586, No update data, 9g3qx2tjqmh7
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 55, 6952, No update data, 9g3qx27qswsr
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 80, 11523, No update data, 9g3qx27m9g8s
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 81, 11690, No update data, 9g3qx27kmpus
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 96, 14195, No update data, 9g3qx277v7pf
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 71, 10020, No update data, 9g3qx277sk0p
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 91, 13360, No update data, 9g3qx277ftvh
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 5bf9c28e-f11a-49f8-9005-3f44131b4025, 92, 13527, No update data, 9g3qx27ndsv5
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 72, 10187, No update data, 9g3qx2kcvuk6
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 64, 8851, No update data, 9g3qx27jkczx
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 65, 8532, No update data, 9g3qx27jhzpw
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 66, 8690, No update data, 9g3qx279sp75
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 93, 13694, No update data, 9g3qx27hwh1p
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 92, 13527, No update data, 9g3qx27769bp
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 75, 10688, No update data, 9g3qx2uh8ewu
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g6v7pg
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 91, 13360, No update data, 9g3qx2ttquvc
Bird, MEX, 405d937e-a470-4df5-a991-7c373a5972db, 28, 2839, No update data, 9g3qx2m09h4p
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 30, 3173, No update data, 9g3qx2g1uq80
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 84, 11534, No update data, 9g3qx25xuvr8
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 58, 7849, No update data, 9g3qx2du225u
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 69, 9164, No update data, 9g3qx2g1fuek
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 93, 12956, No update data, 9g3qx26veusc
Bird, MEX, 1e48ba0e-704d-45b7-82f0-a3137097588b, 47, 6012, No update data, 9g3qx2my2x8f
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 96, 13430, No update data, 9g3qx26y306n
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 85, 12358, No update data, 9g3qx2md904n
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 65, 8532, No update data, 9g3qx25yeect
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 51, 4720, No update data, 9g3qx25yjfs2
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 55, 6952, No update data, 9g3qx2ux95dh
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 29, 3006, No update data, 9g3qx26g187e
Bird, MEX, 9ff7d28e-24c2-4265-830b-9690ccbfec35, 80, 11523, No update data, 9g3qx26bmqrf
Bird, MEX, 249a34ec-60ef-4756-b796-b7580a20be38, 46, 5530, No update data, 9g3qx2hh58hn
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 78, 11189, No update data, 9g3qx2h5yuvv
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 67, 9352, No update data, 9g3qx2h5cyqx
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 57, 7682, No update data, 9g3qx2h5u6b0
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 66, 9185, No update data, 9g3qx2h5cu08
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 78, 7906, No update data, 9g3qx2y0f8vj
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx352jbsn
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 66, 8690, No update data, 9g3qx26mkyrd
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 35, 4008, No update data, 9g3qx2h592t2
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 97, 14362, No update data, 9g3qx2h5kv9q
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 96, 14195, No update data, 9g3qx2h5jmzy
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 81, 11060, No update data, 9g3qx2dqfxb0
Bird, MEX, d90c1a09-6b3b-47aa-8b9d-57d7d00434fb, 46, 5845, No update data, 9g3qx2wpz6z2
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 39, 4676, No update data, 9g3qx25hx3rn
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 83, 12024, No update data, 9g3qx2fyvmrb
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 48, 5846, No update data, 9g3qx257d9jh
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 51, 6680, No update data, 9g3qx2dn54w3
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 78, 10586, No update data, 9g3qx255xdup
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24wr47c
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 88, 12859, No update data, 9g3qx26huvzs
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 96, 14195, No update data, 9g3qx2wx0nvs
Bird, MEX, 6a082de0-4afb-45d0-a398-05316b073850, 42, 4898, No update data, 9g3qx2j4rjh4
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 58, 7849, No update data, 9g3qx2juymu7
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 96, 13430, No update data, 9g3qx2ykczyb
Bird, MEX, e2dd3a02-baf0-4fa6-9e47-6e8486bba7a2, 80, 11523, No update data, 9g3qx2ykfk40
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx2546dm1
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 78, 10586, No update data, 9g3qx34cdtv4
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 88, 12166, No update data, 9g3qrrurv66y
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 85, 11692, No update data, 9g3qx2juqp96
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 83, 11376, No update data, 9g3qx34c218w
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 54, 7181, No update data, 9g3qx349rydm
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 93, 13694, No update data, 9g3qx349xf46
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 62, 8517, No update data, 9g3qx349qnr7
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 93, 13694, No update data, 9g3qx349xm0y
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 60, 8183, No update data, 9g3qx35tkrym
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 88, 12166, No update data, 9g3qx2frd2cg
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr3x79
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 20, 1503, No update data, 9g3qx2wvq9xw
