Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 83, 11376, No update data, 9g3qx2shufz8
Bird, MEX, d7400320-2319-4552-b18f-1dfb1a5d6083, 94, 13114, No update data, 9g3qx2sdsh70
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 91, 13360, No update data, 9g3qx2sh0p0w
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 84, 12191, No update data, 9g3qx2sdtnsx
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 90, 13193, No update data, 9g3qx2sh2429
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 48, 6179, No update data, 9g3qx2eur9sn
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 87, 12692, No update data, 9g3qx2euqtrt
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 89, 13026, No update data, 9g3qx2sjxkr0
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 54, 7181, No update data, 9g3qx2euw84w
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 64, 8374, No update data, 9g3qx2kr1z0w
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 89, 13026, No update data, 9g3qx2sdz2zj
Bird, MEX, 04cdb52b-ddf2-4d23-bc36-163095b6e940, 40, 4843, No update data, 9g3qx2sdrwup
Bird, MEX, 61158645-235d-4084-9c67-26ac45498060, 79, 11356, No update data, 9g3qx2sq0j09
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 52, 6478, No update data, 9g3qx2s8rkc1
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 94, 13861, No update data, 9g3qx2eyn011
Bird, MEX, e266b359-559b-44d2-a0d0-4a6cb3acadf2, 63, 8216, No update data, 9g3qx2kq1bnc
Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 65, 9018, No update data, 9g3qx2srj76z
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 91, 13360, No update data, 9g3qx2edkkb1
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 96, 13430, No update data, 9g3qx2ey2b5u
Bird, MEX, aa0648ef-3f60-410c-91da-7786665136e3, 89, 12324, No update data, 9g3qx2u21cbt
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 94, 13861, No update data, 9g3qx2ey248e
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 93, 13694, No update data, 9g3qx2eycmvk
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 49, 6346, No update data, 9g3qx2t03m2m
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 55, 6952, No update data, 9g3qx27rn2k7
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 91, 13360, No update data, 9g3qx2e2gjyk
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 93, 12956, No update data, 9g3qx2e34eb1
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 89, 13026, No update data, 9g3qx2e3cubw
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 45, 5372, No update data, 9g3qx2v02r7c
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 69, 9686, No update data, 9g3qx2kg3y2d
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 78, 10586, No update data, 9g3qx2t7n8fx
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 91, 13360, No update data, 9g3qx27keexg
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 93, 13694, No update data, 9g3qx27kecky
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 90, 13193, No update data, 9g3qx27k7jqm
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 80, 11523, No update data, 9g3qx27kh051
Bird, MEX, 7aefb7c6-4cd3-4a2c-adc8-8733540e0d9f, 54, 6794, No update data, 9g3qx2eh9y0e
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 78, 11189, No update data, 9g3qx2e03rm2
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 84, 11534, No update data, 9g3qx27c7hb3
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 70, 9853, No update data, 9g3qx277exrg
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 63, 8684, No update data, 9g3qx2e0bdb8
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 65, 8532, No update data, 9g3qx27jmcsj
Bird, MEX, 39c1a20c-e5f6-4483-a785-cd5fc953a35b, 66, 8690, No update data, 9g3qx27c5qgk
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 92, 12798, No update data, 9g3qx2ej0pjw
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 72, 10187, No update data, 9g3qx2kcwsze
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 74, 10521, No update data, 9g3qx2uhcxg8
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 69, 9164, No update data, 9g3qx2g1swsr
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 96, 13430, No update data, 9g3qx26yu3b4
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 93, 12956, No update data, 9g3qx26z7jwr
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g7sv1q
Bird, MEX, b8683fe1-1af7-4282-a239-95703376627e, 91, 13360, No update data, 9g3qx26zcr8r
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 30, 3173, No update data, 9g3qx2g471wq
Bird, MEX, 1009749a-b900-4af8-bfce-9fe95bab2587, 31, 3340, No update data, 9g3qx2g4sqn7
Bird, MEX, c38d9444-5ef3-4d5b-8739-86dc9fad92d4, 60, 8183, No update data, 9g3qx2tv4g5m
Bird, MEX, 1e48ba0e-704d-45b7-82f0-a3137097588b, 46, 5845, No update data, 9g3qx2mtr39j
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 57, 7682, No update data, 9g3qx2dtrzd7
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 85, 12358, No update data, 9g3qx2m6rm15
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 65, 8532, No update data, 9g3qx2hjcynt
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 49, 4484, No update data, 9g3qx2hj2t0f
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 54, 6794, No update data, 9g3qx3h2n134
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 78, 11189, No update data, 9g3qx2hhzm91
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx2grr62f
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 56, 7515, No update data, 9g3qx2hhnru3
Bird, MEX, 249a34ec-60ef-4756-b796-b7580a20be38, 46, 5530, No update data, 9g3qx2hh58hn
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 65, 9018, No update data, 9g3qx2h5wp11
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 66, 8690, No update data, 9g3qx26mmevg
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 76, 7670, No update data, 9g3qx2wpy4c2
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 82, 11857, No update data, 9g3qx2fyn09n
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 81, 11060, No update data, 9g3qx2dqbt8d
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 38, 4509, No update data, 9g3qx25k8hjx
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 73, 9796, No update data, 9g3qx24z2tng
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 78, 10586, No update data, 9g3qx25j8wng
Bird, MEX, 6a082de0-4afb-45d0-a398-05316b073850, 42, 4898, No update data, 9g3qx2j5kyzw
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 48, 5846, No update data, 9g3qx257qj3h
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 48, 6179, No update data, 9g3qx2dn6kcc
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 57, 7682, No update data, 9g3qx2jvwp37
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 84, 11534, No update data, 9g3qx2jvwsfe
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 87, 12008, No update data, 9g3qx2h27uub
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 53, 7014, No update data, 9g3qx34bb029
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 93, 13694, No update data, 9g3qx34c2dnb
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 92, 13527, No update data, 9g3qx34c3m2m
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 62, 8517, No update data, 9g3qx348ywd8
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 83, 11376, No update data, 9g3qx34c2syc
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 78, 10586, No update data, 9g3qx34cgny6
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 96, 13430, No update data, 9g3qx2ykmgk2
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 71, 9480, No update data, 9g3qx251bg7u
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 60, 8183, No update data, 9g3qx35tm76b
Bird, MEX, 7f060e13-d3c7-4836-92e0-bb6893a66e0b, 15, 668, No update data, 9g3qx29tz28g
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 85, 11692, No update data, 9g3qx2fr3s7x
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 87, 12008, No update data, 9g3qx2frd47s
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 66, 9185, No update data, 9g3qx35h7txz
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 72, 10187, No update data, 9g3qx3hnsuck
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 61, 8350, No update data, 9g3qx2wzp6pr
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 31, 3340, No update data, 9g3qx2qb2dzj
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 37, 4342, No update data, 9g3qx2qb9fyz
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 63, 8216, No update data, 9g3qx2qb3z28
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 65, 8532, No update data, 9g3qx2qbdx01
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 36, 4175, No update data, 9g3qx35n4fe3
