Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 87, 12692, No update data, 9g3qx2euptsh
Bird, MEX, 79d4921b-956e-47a6-86f1-5d04a5d03980, 48, 6179, No update data, 9g3qx2eup6bg
Bird, MEX, e0f13f23-022f-41ef-8be9-85c5daec4d69, 54, 7181, No update data, 9g3qx2sh81v8
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 90, 13193, No update data, 9g3qx2eunx4w
Bird, MEX, 262791f4-3be5-486c-9439-dd925ec19aee, 64, 8374, No update data, 9g3qx2kr3bb8
Bird, MEX, 1edf68d5-b730-48b5-b90a-f83781606aa4, 89, 13026, No update data, 9g3qx2sjycjz
Bird, MEX, a2a2f7b9-3d36-4633-a6af-4f8064ce2a3f, 84, 12191, No update data, 9g3qx2s9z1s1
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 89, 13026, No update data, 9g3qx2sdrvp7
Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 83, 11376, No update data, 9g3qx2sj2v5g
Bird, MEX, 458e9181-5e93-4b48-a86f-222a9205a351, 90, 13193, No update data, 9g3qx2evj0st
Bird, MEX, 61158645-235d-4084-9c67-26ac45498060, 79, 11356, No update data, 9g3qx2snxmpj
Bird, MEX, e4870efc-ff0c-4791-9980-dcd018a3606b, 65, 9018, No update data, 9g3qx2sqwumb
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 93, 13694, No update data, 9g3qx2eyj3zv
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 96, 13430, No update data, 9g3qx2eyrqr5
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 94, 13861, No update data, 9g3qx2eyh321
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 91, 13360, No update data, 9g3qx2edkz32
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 49, 6346, No update data, 9g3qx2sbsvpt
Bird, MEX, aa0648ef-3f60-410c-91da-7786665136e3, 89, 12324, No update data, 9g3qx2u0njr7
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 93, 13694, No update data, 9g3qx2eyc72k
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 52, 6478, No update data, 9g3qx2t006ec
Bird, MEX, 0d1720f0-1731-41ee-82c5-ee23d20724f1, 91, 13360, No update data, 9g3qx2e3kr20
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 88, 12859, No update data, 9g3qx2e37nyq
Bird, MEX, c3a16680-82b7-4588-815e-c7c2418731b7, 45, 5372, No update data, 9g3qx2ub9mjq
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 55, 6952, No update data, 9g3qx27rn8dt
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 93, 12956, No update data, 9g3qx2e2fq9b
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 69, 9686, No update data, 9g3qx2kep3r1
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 78, 11189, No update data, 9g3qx2e0h6nr
Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 78, 10586, No update data, 9g3qx2t7pbr7
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 92, 13527, No update data, 9g3qx27kf71f
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 80, 11523, No update data, 9g3qx27kceew
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 91, 13360, No update data, 9g3qx27kc5dn
Bird, MEX, d1780922-70dc-4805-b20e-08b33c00cefe, 70, 9853, No update data, 9g3qx27k4w20
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 92, 12798, No update data, 9g3qx2ej655x
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 90, 13193, No update data, 9g3qx27k1vqd
Bird, MEX, 7aefb7c6-4cd3-4a2c-adc8-8733540e0d9f, 54, 6794, No update data, 9g3qx2ehb9yg
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 62, 8517, No update data, 9g3qx2e00xwb
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 17, 1002, No update data, 9g3qx277ecs3
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 83, 11376, No update data, 9g3qx2k0wwpe
Bird, MEX, 1d7c1bd7-3189-4c37-abf3-35c8962c98c4, 64, 8374, No update data, 9g3qx27jj6dc
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 71, 10020, No update data, 9g3qx2kc7k7x
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 74, 10521, No update data, 9g3qx2uj6j7t
Bird, MEX, b8683fe1-1af7-4282-a239-95703376627e, 91, 13360, No update data, 9g3qx26zf980
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 69, 9164, No update data, 9g3qx2g1ew9x
Bird, MEX, 1009749a-b900-4af8-bfce-9fe95bab2587, 31, 3340, No update data, 9g3qx2g4tbu4
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 93, 12956, No update data, 9g3qx26z42cz
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 42, 4898, No update data, 9g3qx2g7ep27
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 85, 12358, No update data, 9g3qx2m6yctb
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 29, 3006, No update data, 9g3qx2g1crv2
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 57, 7682, No update data, 9g3qx2dtrds5
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 96, 13430, No update data, 9g3qx26y2ebe
Bird, MEX, 249a34ec-60ef-4756-b796-b7580a20be38, 46, 5530, No update data, 9g3qx2hn5qgk
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 65, 8532, No update data, 9g3qx2hjcmv7
Bird, MEX, 1e48ba0e-704d-45b7-82f0-a3137097588b, 45, 5678, No update data, 9g3qx2myhdg7
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 76, 10855, No update data, 9g3qx2hm0pt8
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 49, 4484, No update data, 9g3qx25vrm2u
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 54, 6794, No update data, 9g3qx3h2n0p6
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 84, 11534, No update data, 9g3qx2gx8eyy
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 65, 9018, No update data, 9g3qx2h5s32n
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 56, 7515, No update data, 9g3qx2h58f5c
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 76, 7670, No update data, 9g3qx2y0kkqr
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 78, 10586, No update data, 9g3qx25n3dgt
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 82, 11857, No update data, 9g3qx2fyjck1
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 81, 11060, No update data, 9g3qx2dr669g
Bird, MEX, 556b9051-8c21-4e83-a449-b13a5e36a2c7, 43, 5344, No update data, 9g3qx26m1v26
