Bird, MEX, 47a8ba7e-1bb4-49ce-aaa3-79cd39c2d997, 81, 11060, No update data, 9g3qx2ey1f0x
Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 65, 9018, No update data, 9g3qx2keu7wq
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 53, 6636, No update data, 9g3qx27qvns8
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 69, 9686, No update data, 9g3qx2k9ku1m
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 90, 12482, No update data, 9g3qx2duzu66
Bird, MEX, 4d6b23ec-b3c9-43b5-8a3f-5aed0715bfac, 40, 4582, No update data, 9g3qx2g6zmx4
Bird, MEX, c974ba66-8a08-48f0-92fc-a0f49aab4ffc, 46, 5530, No update data, 9g3qx2m737jr
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 67, 8848, No update data, 9g3qx2g1e5q6
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 54, 7181, No update data, 9g3qx2dubu5b
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 82, 11857, No update data, 9g3qx2m6xxk5
Bird, MEX, 1009749a-b900-4af8-bfce-9fe95bab2587, 29, 3006, No update data, 9g3qx2g4edxy
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 52, 6478, No update data, 9g3qx2urxqph
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 64, 8374, No update data, 9g3qx25vkm04
Bird, MEX, 1af1ae4c-7139-4ed2-acc5-76b331500c06, 76, 10855, No update data, 9g3qx2hkc5dn
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 83, 11376, No update data, 9g3qx2gxbn0w
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 74, 7434, No update data, 9g3qx2y068v0
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 54, 7181, No update data, 9g3qx2h5u3y6
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 79, 11356, No update data, 9g3qx2fvu1g5
Bird, MEX, 2e60dc3c-0d0e-4145-8ad3-6e176e3a8c2e, 78, 11189, No update data, 9g3qx2w6ghn8
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 36, 4175, No update data, 9g3qx25hvewn
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 48, 5846, No update data, 9g3qx25k06eb
