Bird, MEX, 6632c2cc-128a-4840-b1c1-0866b6d34eea, 62, 8517, No update data, 9g3qx2ke41gt
Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 51, 6320, No update data, 9g3qx27q858s
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 88, 12166, No update data, 9g3qx2e5075v
Bird, MEX, 1177dc70-5c00-41bc-97c2-c0c7136aedfc, 64, 8851, No update data, 9g3qx2kbfxmj
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 66, 8690, No update data, 9g3qx2g448vp
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 80, 11523, No update data, 9g3qx2me00tt
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 49, 6346, No update data, 9g3qx2dv8ewu
Bird, MEX, 1af1ae4c-7139-4ed2-acc5-76b331500c06, 73, 10354, No update data, 9g3qx2hm9v2x
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 62, 8058, No update data, 9g3qx25vmtn4
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 51, 6320, No update data, 9g3qx2uryytb
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 70, 6962, No update data, 9g3qx2wp3yqg
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 82, 11218, No update data, 9g3qx2grqtrt
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 52, 6847, No update data, 9g3qx2h5xkpp
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 75, 10688, No update data, 9g3qx2fvuje4
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 33, 3674, No update data, 9g3qx25kbgey
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 73, 9796, No update data, 9g3qx24yqt4d
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 47, 5688, No update data, 9g3qx257u5en
Bird, MEX, c974ba66-8a08-48f0-92fc-a0f49aab4ffc, 46, 5530, No update data, 9g3qx25fh9uk
Bird, MEX, 5a0f3b70-2911-46fb-93a5-1b755815671e, 61, 7900, No update data, 9g3qx2dperh9
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 34, 3841, No update data, 9g3qx2dn9q2m
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 81, 11060, No update data, 9g3qx2jvj36c
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 55, 7348, No update data, 9g3qx349ndd9
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 87, 12692, No update data, 9g3qx349ru4q
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 74, 9954, No update data, 9g3qx34fhhep
Bird, MEX, 4c09d5fb-6d29-49ee-8cea-f11fb3cc55f9, 62, 8517, No update data, 9g3qx29u3mmm
Bird, MEX, f48a649a-f2a1-4856-b4cb-d1f196a6fe97, 79, 11356, No update data, 9g3qx29u212s
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 53, 7014, No update data, 9g3qx35tt8np
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 53, 7014, No update data, 9g3qx2wydvg3
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 82, 11218, No update data, 9g3qx2frd3cb
