Bird, MEX, d27b149f-4a08-4213-94c7-63f72077016c, 51, 6680, No update data, 9g3qx2s51qvk
Bird, MEX, ef98cde4-625d-474d-b54f-c17eb9200478, 88, 12859, No update data, 9g3qx2s53t5e
Bird, MEX, 4f1e0d13-798b-4565-8690-f41773ce3889, 49, 6004, No update data, 9g3qx2s0s78h
Bird, MEX, be18780e-cf43-42d5-99d6-e39deac21f36, 90, 13193, No update data, 9g3qx2s520b8
Bird, MEX, 2b0f349a-ce4a-4e6d-a714-1c1daae3e1c0, 90, 13193, No update data, 9g3qx2s52pvs
Bird, MEX, 766b24e5-875e-4597-9ab0-0dffac90e2dc, 67, 8848, No update data, 9g3qx2s584tw
Bird, MEX, 3dbd96e5-7713-4b46-826c-5bdd314d06e5, 84, 12191, No update data, 9g3qx2se7487
Bird, MEX, 992d97e2-e06c-4e9c-9471-13f59b001fa5, 87, 12692, No update data, 9g3qx2sdu1e1
Bird, MEX, dfe68ef3-1af3-4586-a29f-253199f52ba1, 87, 12692, No update data, 9g3qx2se7dxg
Bird, MEX, 82ff0d27-07c6-4775-8348-211199e6cd23, 48, 6179, No update data, 9g3qx2s09fnd
Bird, MEX, 6e632a39-2672-46c6-899e-7baac6bd15b5, 79, 10744, No update data, 9g3qx2sm0zeb
Bird, MEX, cc62ef2f-e3b8-447f-bb06-c68a77a7b658, 97, 13588, No update data, 9g3qx2shbenf
Bird, MEX, ddd83df3-6c0c-4213-a93f-9f07f49c0a20, 48, 5846, No update data, 9g3qx2smqdxe
Bird, MEX, bb70570a-f1c0-4690-b470-db4547318a38, 91, 13360, No update data, 9g3qx2shb9bg
Bird, MEX, fa0fb464-f3a6-40e9-8410-f0df7254778d, 57, 7268, No update data, 9g3qx2smpxs0
Bird, MEX, 3b3912f0-34ff-4eb5-8f87-38c40a26de03, 21, 1670, No update data, 9g3qx2sm9y0e
Bird, MEX, c9b80aba-3672-490b-8d4a-4d7326c84cad, 49, 6004, No update data, 9g3qx2efegkf
Bird, MEX, 85258989-ba9d-4a53-b0e4-805542e73c00, 93, 12956, No update data, 9g3qx2smb8yv
Bird, MEX, 6c4f191e-f90d-4d5d-895a-5edac5235870, 54, 7181, No update data, 9g3qx2st1qvk
Bird, MEX, 9a2d3b29-4e7e-453d-ae67-62e906f69a73, 39, 4676, No update data, 9g3qx2st30f0
Bird, MEX, 32200afc-6d65-4c5f-838c-6c69340ab25b, 85, 12358, No update data, 9g3qx2sdxy6m
