Bird, MEX, ad50e153-1c7a-4a7d-a14c-5523e0c73503, 96, 13430, No update data, 9g3qx2krg087
Bird, MEX, a801d5d3-b8ba-45d8-8efd-fa0679b03b1e, 48, 5846, No update data, 9g3qx2seuqnq
Bird, MEX, 2b001681-d105-4e09-9834-e75b528e79e9, 98, 13746, No update data, 9g3qx2s8ezhc
Bird, MEX, 64f07ad7-e951-4d8d-93d3-b23ee8302a4d, 43, 5056, No update data, 9g3qx2s87j07
Bird, MEX, df5cadc9-1dfa-4fc6-8b8e-77207b1480db, 43, 5344, No update data, 9g3qx2st0pjw
Bird, MEX, de69a18a-e694-4809-a451-7ca387bc87bd, 60, 7742, No update data, 9g3qx2seq1xq
Bird, MEX, 58bdcda6-5d94-4e27-b7e7-427f03303289, 79, 10744, No update data, 9g3qx2kr7hb3
Bird, MEX, 65633e0e-842e-4cfa-8926-622210b30553, 45, 5372, No update data, 9g3qx2s8s5gn
Bird, MEX, f80a1706-d9e8-4aa7-a0ad-331103acf706, 90, 12482, No update data, 9g3qx2sewh32
Bird, MEX, eb030c07-a80d-4210-ae3f-da8d94e6fa7d, 98, 13746, No update data, 9g3qx2kr7ece
Bird, MEX, 7382395c-1131-4d2a-a539-1b8a8cdd3cb5, 66, 8690, No update data, 9g3qx2ssg5ww
Bird, MEX, 1ffa97af-1a76-4893-bedc-54d02f4efce3, 79, 10744, No update data, 9g3qx2s8k4e5
Bird, MEX, e79eb5e7-0fc6-4033-89a6-17993acb1e7f, 92, 12798, No update data, 9g3qx2kr10dj
Bird, MEX, 5b587a86-6a65-48b9-8f07-b66e592e465f, 96, 13430, No update data, 9g3qx2sn6f52
Bird, MEX, d3e1607a-5422-4eb1-931b-4882c3811ac3, 90, 13193, No update data, 9g3qx2sqvqxb
Bird, MEX, f146e0b7-112f-44d6-863d-758aa947e455, 63, 8216, No update data, 9g3qx2sgk32h
Bird, MEX, 094a7b33-e6c4-499b-80d6-55db9873b06d, 99, 13904, No update data, 9g3qx2kmv3ff
Bird, MEX, 6b45fbd0-3f2f-4f2c-b423-10d20e8bc058, 46, 5530, No update data, 9g3qx2sx0eyc
Bird, MEX, fa503f0c-b85d-4bc2-894c-238ef1f956a6, 72, 9638, No update data, 9g3qx2ktyvmb
Bird, MEX, fe2e29af-2ff5-4793-a59e-f355a70b4d2a, 84, 11534, No update data, 9g3qx2u2nwzs
Bird, MEX, 54ebd34d-9d2b-410a-8d33-3c10309f504b, 65, 9018, No update data, 9g3qx2t4dq3v
Bird, MEX, 56f076e4-64f9-46a0-a31a-3795c19e85e5, 98, 13746, No update data, 9g3qx2e3w0c4
Bird, MEX, 94b41684-0323-4515-82bf-3b218215d42c, 54, 6794, No update data, 9g3qx2kve8zf
Bird, MEX, c8708da8-2cc3-4530-9c12-3423b26218c8, 98, 13746, No update data, 9g3qx2exh9um
Bird, MEX, e778449b-4d72-4a46-a455-36e40f4b66bf, 99, 13904, No update data, 9g3qx2e3b829
Bird, MEX, eb08dbaf-47d7-4bc9-a133-2eaa6803f87c, 97, 13588, No update data, 9g3qx2erwhx6
