Bird, MEX, b2e85911-7250-42e2-b5aa-116c494b23f4, 81, 11060, No update data, 9g3qx2evgvuu
Bird, MEX, ac2def65-3bdf-4b75-8c9b-52d19f0e959c, 54, 6794, No update data, 9g3qx2svdh78
Bird, MEX, 40b03a42-2c5a-4a68-a9e8-43ca9872f20b, 43, 5056, No update data, 9g3qx2t49rj3
Bird, MEX, 55ac8d85-41fb-42d6-9a6d-1cc07fc47382, 90, 12482, No update data, 9g3qx2e2qwfw
Bird, MEX, 56f076e4-64f9-46a0-a31a-3795c19e85e5, 94, 13114, No update data, 9g3qx2e2nrs2
Bird, MEX, 9ef1acc1-320d-404b-a860-5aef87c65970, 87, 12008, No update data, 9g3qx2e2ebuf
Bird, MEX, 55f3a73e-4df5-470a-8786-dddf62210cf7, 22, 1837, No update data, 9g3qx2kgbg5f
Bird, MEX, ae45b9f9-8ca9-4360-be75-c4ea886bf8d2, 90, 12482, No update data, 9g3qx2t7kqwm
Bird, MEX, 3c0289ef-3664-4691-8fa1-f83841310725, 94, 13114, No update data, 9g3qx2tt4peb
Bird, MEX, ed834a34-6369-4119-a64c-ff0b476198f9, 52, 6478, No update data, 9g3qx2ttf23c
Bird, MEX, 55fc69ab-a800-49f5-bc54-c2a47cecf8eb, 84, 11534, No update data, 9g3qx2ttdcg2
Bird, MEX, 03c18aad-f9f8-4d1b-9845-307e2aa71ed3, 93, 12956, No update data, 9g3qx279n0cp
Bird, MEX, 68687d8a-c4ac-4a7c-a91d-cef233963ec0, 81, 11060, No update data, 9g3qx279633g
Bird, MEX, 382512a2-9fbf-4e3d-a76b-46fbe5e49a6e, 49, 6004, No update data, 9g3qx2g7h2yr
Bird, MEX, c3b044ce-bfe5-43be-854d-5185a9833ee1, 80, 10902, No update data, 9g3qx2tswx6e
Bird, MEX, 513bcb5a-b1d6-4ea9-839d-ee69b16effaf, 84, 11534, No update data, 9g3qx2tsydz8
Bird, MEX, 6dd80bb2-d47d-468e-849d-20cdfd98e95f, 94, 13114, No update data, 9g3qx2tswzjc
Bird, MEX, 0403b121-5c9e-4a64-a436-a67e6beba657, 60, 7742, No update data, 9g3qx2tsz5sn
Bird, MEX, 3488e279-5a9e-43fa-988b-90f6a2973467, 94, 13114, No update data, 9g3qx2ttrqzr
Bird, MEX, 96498229-a4b2-462c-8d3a-a7e561550002, 89, 12324, No update data, 9g3qx2g74jet
Bird, MEX, a6222281-011e-4983-aa09-eeee6f1ebd0d, 91, 12640, No update data, 9g3qx2kbrjkj
Bird, MEX, 3e6ca4f1-a0e4-4e93-bd80-a14763b3b0b2, 51, 6320, No update data, 9g3qx2g716jr
Bird, MEX, f146e0b7-112f-44d6-863d-758aa947e455, 61, 7900, No update data, 9g3qx2tu8xxj
Bird, MEX, bf7a4bdf-c808-459c-8845-b8eba9c4abaa, 80, 10902, No update data, 9g3qx2gs88nz
Bird, MEX, 89aaf7a3-b29c-4bae-9219-951d4d4610e7, 49, 6004, No update data, 9g3qx2tv12br
Bird, MEX, 509b9efb-a7d1-4ea3-bce9-4d8f846c9c33, 53, 6636, No update data, 9g3qx2gvy5rm
Bird, MEX, 215801c0-ba4d-45de-a52b-e89b1d3c6971, 78, 10586, No update data, 9g3qx2g4wjc4
Bird, MEX, 668705b8-7d3e-4d42-9665-b04e7af01018, 85, 11692, No update data, 9g3qx2754pe8
Bird, MEX, 54ebd34d-9d2b-410a-8d33-3c10309f504b, 61, 8350, No update data, 9g3qx2tuf90p
Bird, MEX, ce9ecc24-c605-4905-ba0d-164f4ac75fb4, 84, 11534, No update data, 9g3qx2g4423u
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 52, 6478, No update data, 9g3qx2gy6f76
Bird, MEX, e8a6bb39-a5bf-4610-919c-56c460921af0, 84, 11534, No update data, 9g3qx2tvkycx
Bird, MEX, 56cfff1c-438d-49b8-a341-40a5755322d5, 90, 12482, No update data, 9g3qx2gtgp0k
Bird, MEX, 55cb3ff3-59cd-4f2e-b1cb-2c1924763017, 44, 5214, No update data, 9g3qx2hvwhc7
Bird, MEX, 53378801-bcf3-45c0-84d4-db338ba76ead, 98, 13746, No update data, 9g3qx2hh5d98
Bird, MEX, c1443551-73e1-4887-834c-d83512afa255, 83, 11376, No update data, 9g3qx2grt6xy
Bird, MEX, 808289ff-614a-4305-ac48-aca12bcca979, 91, 12640, No update data, 9g3qx2gry9d9
Bird, MEX, 44c2d43d-d2b1-4ca9-9d76-e2ddfc04a985, 31, 3340, No update data, 9g3qx3h92w2g
Bird, MEX, bc8ad7eb-d7da-4147-9225-7ca0ecf0baa2, 94, 13114, No update data, 9g3qx2h5e4qe
Bird, MEX, e43c685d-d970-4a07-ab94-af2630c997b1, 89, 12324, No update data, 9g3qx2h52m5f
Bird, MEX, 086cda89-ed17-48ef-8b07-b1b5c91befbd, 73, 9796, No update data, 9g3qx2fvvr4u
Bird, MEX, 2372d1f3-25c7-42e6-bcbc-59f0177e820d, 16, 790, No update data, 9g3qx2wreguy
Bird, MEX, 3efea8d6-4bd4-4cdd-9e7d-fb711ec3823f, 60, 7742, No update data, 9g3qx25cyt4x
Bird, MEX, dd749cda-d782-44eb-9d18-faeced51a62c, 51, 6320, No update data, 9g3qx2wrqqur
Bird, MEX, fa503f0c-b85d-4bc2-894c-238ef1f956a6, 69, 9164, No update data, 9g3qx2wrwpp9
Bird, MEX, 15c0dcb6-588b-4d75-ba9f-8072e7b867ab, 48, 5846, No update data, 9g3qx2j4ww6t
Bird, MEX, 4d6bd070-1596-4a92-b16a-9fa836888eca, 40, 4843, No update data, 9g3qx29gw01n
Bird, MEX, bbabfb3a-d6c5-436c-8da2-5b0fd152082e, 49, 6004, No update data, 9g3qx3j97pyt
Bird, MEX, 13ef7254-4c5a-45fb-959c-c4436a186ae7, 92, 12798, No update data, 9g3qx2y7n2sm
Bird, MEX, e2fbb994-ab5d-463d-8c4f-4b08c9e592e1, 78, 10586, No update data, 9g3qrrurccyf
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 74, 9954, No update data, 9g3qx34cf45t
Bird, MEX, 0eae2a35-d663-4879-8ede-9f1ec5227eaf, 74, 9954, No update data, 9g3qx2yeg0yt
Bird, MEX, dec587da-8192-4c28-abb7-e8d178cd2d12, 96, 13430, No update data, 9g3qx2fr225s
Bird, MEX, 9bb845f6-a89f-4997-89ca-6297a5ad036b, 97, 13588, No update data, 9g3qx2fr8y7y
Bird, MEX, d7d83de7-acfb-4770-9e4b-76957bf1eb7c, 92, 13527, No update data, 9g3qx2fr800x
Bird, MEX, f3c80877-da11-4215-8d1e-fb97bc81891f, 34, 3634, No update data, 9g3qx2ycwsdd
Bird, MEX, ccc018bc-c9c3-4237-9f15-2b8b30c3fc8c, 58, 7426, No update data, 9g3qx21yv0us
Bird, MEX, a952f527-d0ae-4d22-a4d7-7bbc16845429, 80, 10902, No update data, 9g3qrrvq4920
Bird, MEX, 1b38a58b-5a6e-4662-896d-1fcd5523d758, 80, 10902, No update data, 9g3qx2z502gz
Bird, MEX, f7dd0509-1d5c-413f-80fe-1d4c922d2914, 90, 12482, No update data, 9g3qx239dr3g
Bird, MEX, 4e32cb22-ca9f-432d-997d-0a18d8c52a6b, 48, 5846, No update data, 9g3qrrvmvvhr
Bird, MEX, 9d080dda-e43c-46f6-9a97-5c15364b4a79, 94, 13114, No update data, 9g3qx21wv4kw
Bird, MEX, 10264b82-4c51-4dd5-b8ba-9e3dd3a4f28e, 85, 11692, No update data, 9g3qx2n24r6p
Bird, MEX, 3127c34f-297e-4752-9f99-8159c9cb56b8, 96, 13430, No update data, 9g3qx2z6dcg2
Bird, MEX, 940721d1-d326-44c8-a382-807f22450618, 49, 6004, No update data, 9g3qx2zk4tj1
Bird, MEX, 65a412e6-6e8f-44e1-862b-d97aba7e160b, 99, 13904, No update data, 9g3qx231qy2f
Bird, MEX, bd7e8e4e-c6f7-4beb-bfc3-14b76cba1376, 43, 5056, No update data, 9g3qx2xxcp6q
Bird, MEX, edb61149-cbc7-4bc2-8966-3c64c3f40951, 47, 5688, No update data, 9g3qx2z7pxhq
Bird, MEX, 83b7f59d-ea85-4e7f-bf84-33810010d090, 63, 8216, No update data, 9g3qx3nsrkz6
Bird, MEX, 2579a082-f904-433b-9864-db8ce9dcfcb9, 100, 14863, No update data, 9g3qx28c5819
