Bird, MEX, f476f0f3-0ec2-4a9a-90cf-1da01ade5e35, 36, 4175, No update data, 9g3qx2se87eu
Bird, MEX, 07d63dc5-c33e-40cc-b847-ff0599b250d5, 75, 10112, No update data, 9g3qx2kqddtn
Bird, MEX, 09acbba8-f7e9-411f-b461-c1b58c539e81, 73, 9796, No update data, 9g3qx2t2xfp6
Bird, MEX, 96498229-a4b2-462c-8d3a-a7e561550002, 87, 12008, No update data, 9g3qx2g6j2fz
Bird, MEX, 3e6ca4f1-a0e4-4e93-bd80-a14763b3b0b2, 49, 6004, No update data, 9g3qx2g67mhe
Bird, MEX, 215801c0-ba4d-45de-a52b-e89b1d3c6971, 75, 10112, No update data, 9g3qx2g60eyc
Bird, MEX, 382512a2-9fbf-4e3d-a76b-46fbe5e49a6e, 48, 5846, No update data, 9g3qx2gkkycr
Bird, MEX, 36383980-e20f-4c28-9a89-0c353ac703b6, 66, 8690, No update data, 9g3qx25yxg63
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 51, 6320, No update data, 9g3qx2gwvyu6
Bird, MEX, 808289ff-614a-4305-ac48-aca12bcca979, 89, 12324, No update data, 9g3qx2gq3p61
Bird, MEX, 925c3025-7d0f-4168-b8fa-1cbc41755108, 39, 4424, No update data, 9g3qx2fuy1c5
Bird, MEX, ed834a34-6369-4119-a64c-ff0b476198f9, 53, 6636, No update data, 9g3qx2y0syrt
Bird, MEX, 086cda89-ed17-48ef-8b07-b1b5c91befbd, 74, 9954, No update data, 9g3qx2fvuc93
Bird, MEX, 81e789f2-5a9e-4372-8f7f-d931024d7fd7, 54, 6794, No update data, 9g3qx2y2kjkb
Bird, MEX, 15c0dcb6-588b-4d75-ba9f-8072e7b867ab, 47, 5688, No update data, 9g3qx2j4zmx3
Bird, MEX, 4d6bd070-1596-4a92-b16a-9fa836888eca, 37, 4342, No update data, 9g3qx2d580bd
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 72, 9638, No update data, 9g3qx34c7426
Bird, MEX, d7d83de7-acfb-4770-9e4b-76957bf1eb7c, 89, 13026, No update data, 9g3qx2fr78pu
Bird, MEX, 9bb845f6-a89f-4997-89ca-6297a5ad036b, 94, 13114, No update data, 9g3qx2fr2g7b
